#OTU ID	DA01071	DA01335	DA01044	DA01231	DA00949	DA00989	DA01235	DA01388	DA01030	DA01193	DA01119	DA00918	DA01311	DA00904	DA01320	DA01205	DA01073	DA01161	DA00886	DA01223	DA01242	DA01076	DA00908	DA00955	DA01024	DA01211	DA00943	DA00898	DA01370	DA01291	DA00927	DA01089	DA01227	DA01270	DA01203	DA01026	DA01129	DA01018	DA01186	DA01068	DA01210	DA01167	DA01384	DA00926	DA00658	DA00470	DA00491	DA00154	DA00498	DA00165	DA00280	DA00721	DA00397	DA00530	DA00318	DA00575	DA00170	DA00282	DA00330	DA00691	DA00678	DA00556	DA00815	DA00458	DA00382	DA00603	DA00735	DA00632	DA00394	DA00778	DA00600	DA00065	DA00431	DA00673	DA00568	DA00210	DA00461	DA00563	DA00675	DA01588	DA01547	DA01482	DA01468	DA01563	DA10003	DA10090	DA10011	DA10068	DA10047	DA10115	DA10073	DA10088	DA10066	DA10096	DA10112	DA10025	DA10082	DA10103	DA10062	DA10075	DA10023	DA10056	DA10110	DA10048	DA10008	DA10092	DA10054	DA10071	DA10079	DA10015	DA10093	DA10029	DA10104	DA10017	DA10055	DA10045	DA10012	DA10038	DA10067	DA10028	DA10026	DA10085	DA10101	DA10081	DA10039	DA10109	DA10107	DA10030	DA10108	DA10069	DA10065	DA10095	DA10059	DA10116	DA10083	DA10024	DA10061	DA10100	DA10053	DA10091	DA10022	DA10051	DA10040	DA10084	DA10016	DA10106	DA10005	DA10077	DA10094	DA10114	DA10113	DA10027	DA10002	DA10036	DA10034	DA10019	DA10049	DA10006	DA10037	DA10042	DA10033	DA10070	DA10009	DA10058	DA10041	DA10097	DA10050	DA10035	DA10076	DA10018	DA10057	DA10117	DA10098	DA10032	DA10141	DA10186	DA10164	DA10148	DA10156	DA10137	DA10135	DA10119	DA10139	DA10155	DA10166	DA10161	DA10158	DA10187	DA10160	DA10129	DA10151	DA10147	DA10131	DA10174	DA10182	DA10184	DA10142	DA10183	DA10169	DA10149	DA10143	DA10181	DA10121	DA10120	DA10124	DA10159	DA10171	DA10167	DA10170	DA10150	DA10123	DA10145	DA10178	DA10172	DA10138	DA10133	DA10130	DA10127	DA10162	DA10168	DA10177	DA10122	DA10157	DA10165	DA10180	DA10146	DA10175	DA10134	DA10154	DA10189	DA10152	DA10188	DA10136	DA10176	DA10126	DA10125	DA10173
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Acidaminococcaceae._.g__Succiniclasticum	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__	1	0	0	3	1	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	4	25	1	0	3	1	1	1	2	0	0	0	3	0	0	1	75	1	1	0	0	1	0	0	2	0	0	3	0	0	74	0	0	1	2	1	5	0	2	0	0	0	0	0	1	1	1	0	3	0	0	6	0	1	0	1	0	6	0	0	2	6	0	0	1	1	2	0	0	1	2	0	0	4	0	0	2	12	2	0	4	2	0	0	0	4	1	21	0	0	1	0	0	0	2	2	0	1	1	2	0	4	4	0	0	3	0	1	1	1	0	0	2	0	0	0	1	0	0	1	0	0	4	2	2	3	0	6	1	1	2	0	1	1	3	0	26	0	2	3	5	0	0	0	0	0	1	5	2	0	0	1	0	1	12	1	44
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Dialister	82	0	0	56	18	23	0	62	34	0	0	0	0	0	0	2	0	0	252	297	0	533	0	18	37	0	0	0	0	0	0	0	0	0	83	168	0	0	1	105	0	0	0	0	80	0	241	43	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	231	1	65	0	0	0	35	0	12	0	3	0	4	296	0	23	0	0	796	1	0	12	40	0	0	0	0	0	1	0	2	0	65	0	0	45	16	2	40	28	11	76	20	0	29	0	0	0	1	0	0	0	6	35	178	0	14	1	0	0	0	0	1	19	0	2	0	0	0	0	0	0	2	106	0	1	30	0	26	50	205	65	123	0	0	0	35	487	50	0	0	0	128	0	244	70	2	31	206	0	20	2	23	24	137	0	109	31	0	97	0	1	92	0	0	0	1	0	0	251	0	0	1	77	0	1	0	110	0	8	84	46	386	29	274	0	0	34	0	287	0	0	0	43	593	5	0	28	144	0	25	56	0	0	147	0	0	181	36	0	0	1	9	0	0	19	0	270	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	1	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Megasphaera	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	13	0	4	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Veillonella	379	0	0	123	798	273	0	49	44	0	376	0	0	1	1	112	16	7	8	0	0	148	76	319	465	878	1	0	0	0	0	3088	0	0	41	11	188	54	0	1556	1	53	0	2	250	0	65	85	13	7	0	0	13	0	170	0	0	57	19	448	11	0	2	0	0	9	452	1	0	0	0	0	5	95	930	49	16	2	0	9	0	0	89	1	0	1	0	1	0	19	3	0	2	0	0	0	1	0	4	0	4	0	0	0	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	12	0	0	0	1	1	1	0	0	0	8	0	9	0	14	0	1	0	0	0	1	2	1	1	1	3	0	3	0	0	0	0	0	0	10	0	13	0	23	3	1	0	2	1	4	2	0	0	3	0	0	3	0	8	1	0	3	18	0	1	0	0	3	15	1	0	0	1	0	0	1	6	53	80	11	3	1	6	14	0	1	0	1	3	0	0	1	10	0	1	0	0	6	0	0	0	0	0	0	6	13	20	3	0	0	0	1	0	0	0	0	26	2	0
k__Bacteria._.p__Fusobacteria._.c__Fusobacteriia._.o__Fusobacteriales._.f__Fusobacteriaceae._.g__Fusobacterium	349	0	0	0	380	647	0	0	1	0	0	0	0	0	0	1	0	8	16	35	693	0	0	49	8	57	0	0	0	0	0	4	0	0	2	8	0	0	0	0	0	0	393	280	0	0	2	0	0	0	0	1	296	0	5	0	28	0	12	0	0	2	0	0	0	0	0	3	0	0	0	0	2	145	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
k__Bacteria._.p__Lentisphaerae._.c__Lentisphaeria._.o__Victivallales._.f__Victivallaceae._.g__Victivallis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__._.o__._.f__._.g__	0	2	0	1	1	0	0	0	0	0	0	0	0	1	3	1	0	0	2	0	0	0	8	0	1	0	0	0	0	0	0	2	1	0	4	0	0	0	0	5	0	2	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	4	2	0	0	0	22	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	2	1	2	0	0	0	0	0	0	3	0	0	1	0	1	0	4	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
