	Abiotrophia	Acetanaerobacterium	Acetatifactor	Acetitomaculum	Acidaminococcus	Acinetobacter	Actinomyces	Aeromonas	Aestuariispira	Akkermansia	Alistipes	Allisonella	Allobaculum	Alloprevotella	Alloscardovia	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroglobus	Anaerophaga	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Aquabacterium	Arcanobacterium	Atopobium	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachyspira	Brevibacterium	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Carnobacterium	Catabacter	Catenibacterium	Cerasicoccus	Christensenella	Citrobacter	Cloacibacillus	Clostridium_III	Clostridium_IV	Clostridium_XI	Clostridium_XVIII	Clostridium_XlVa	Clostridium_XlVb	Clostridium_sensu_stricto	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Desulfovibrio	Dialister	Dolosigranulum	Dorea	Dysgonomonas	Eggerthella	Eggerthia	Eisenbergiella	Elusimicrobium	Enterobacter	Enterococcus	Enterorhabdus	EscherichiaShigella	Eubacterium	Faecalibacterium	Faecalicoccus	Faecalitalea	Finegoldia	Flavonifractor	Fretibacterium	Fusicatenibacter	Fusobacterium	Gemella	Gemmiger	Gordonibacter	Haemophilus	Helicobacter	Herbaspirillum	Holdemanella	Holdemania	Howardella	Hungatella	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Kingella	Lachnoanaerobaculum	Lactobacillus	Lactococcus	Lactonifactor	Leptotrichia	Leuconostoc	Mannheimia	Massilia	Megamonas	Megasphaera	Methanobrevibacter	Methanomassiliicoccus	Methanosphaera	Mitsuokella	Mogibacterium	Morganella	Moryella	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paraeggerthella	Paraprevotella	Parasutterella	Parvimonas	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Porphyromonas	Prevotella	Propionispira	Proteus	Providencia	Pseudobutyrivibrio	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Pyramidobacter	Romboutsia	Roseburia	Rothia	Ruminococcus	Ruminococcus2	Salmonella	Scardovia	Senegalimassilia	Slackia	Solobacterium	Sphaerochaeta	Sporobacter	Staphylococcus	Stomatobaculum	Streptococcus	Streptophyta	Subdoligranulum	Succinatimonas	Succiniclasticum	Succinivibrio	Sutterella	Terrisporobacter	Treponema	Turicibacter	Ureaplasma	Veillonella	Victivallis	Weissella	Yersinia	unclassified_Acetobacteraceae	unclassified_Acidaminococcaceae	unclassified_Aerococcaceae	unclassified_Alteromonadales	unclassified_Anaerolineaceae	unclassified_Anaeroplasmataceae	unclassified_Anaplasmataceae	unclassified_Bacillaceae	unclassified_Bacillales	unclassified_Bacteroidaceae	unclassified_Bacteroidales	unclassified_Bdellovibrionaceae	unclassified_Beijerinckiaceae	unclassified_Beutenbergiaceae	unclassified_Bifidobacteriaceae	unclassified_Blastocatella	unclassified_Bradymonadaceae	unclassified_Bryobacter	unclassified_Burkholderiales	unclassified_Candidatus	unclassified_Carnobacteriaceae	unclassified_Catabacteriaceae	unclassified_Chitinivibrionaceae	unclassified_Chloroplast	unclassified_Christensenellaceae	unclassified_Chromatiaceae	unclassified_Clostridiaceae	unclassified_Clostridiales	unclassified_Comamonadaceae	unclassified_Coriobacteriaceae	unclassified_Corynebacteriaceae	unclassified_Cryomorphaceae	unclassified_Cyclobacteriaceae	unclassified_Cytophagaceae	unclassified_Defluviitaleaceae	unclassified_Dehalococcoidaceae	unclassified_Desulfobacteraceae	unclassified_Desulfobulbaceae	unclassified_Desulfohalobiaceae	unclassified_Desulfomicrobiaceae	unclassified_Desulfovibrionaceae	unclassified_Ectothiorhodospiraceae	unclassified_Elioraea	unclassified_Enterobacteriaceae	unclassified_Enterococcaceae	unclassified_Erysipelotrichaceae	unclassified_Eubacteriaceae	unclassified_Ferroplasmaceae	unclassified_Ferrovaceae	unclassified_Flammeovirgaceae	unclassified_Flavobacteriaceae	unclassified_Fusobacteriaceae	unclassified_Geminicoccus	unclassified_Gracilibacteraceae	unclassified_Halanaerobiaceae	unclassified_Halobacteriaceae	unclassified_Halobacteroidaceae	unclassified_Halomonadaceae	unclassified_Haloplasmataceae	unclassified_Halothiobacillaceae	unclassified_Heliobacteriaceae	unclassified_Hyphomonadaceae	unclassified_Ignavibacteriaceae	unclassified_Kiloniellaceae	unclassified_Kofleriaceae	unclassified_Lachnospiraceae	unclassified_Lactobacillaceae	unclassified_Leptospiraceae	unclassified_Leptotrichiaceae	unclassified_Marinilabiliaceae	unclassified_Marinimicrobia	unclassified_Mariprofundaceae	unclassified_Methanobacteriaceae	unclassified_Methanomassiliicoccaceae	unclassified_Methanoregulaceae	unclassified_Methanosarcinaceae	unclassified_Methylococcaceae	unclassified_Microbacteriaceae	unclassified_Nannocystaceae	unclassified_Natranaerobiaceae	unclassified_Natranaerovirga	unclassified_Neisseriaceae	unclassified_Oceanospirillaceae	unclassified_Oleiphilaceae	unclassified_Oligoflexaceae	unclassified_Oligosphaeraceae	unclassified_Opitutaceae	unclassified_Oxalobacteraceae	unclassified_Pacearchaeota	unclassified_Paenibacillaceae	unclassified_Pasteurellaceae	unclassified_Peptococcaceae	unclassified_Peptoniphilaceae	unclassified_Peptostreptococcaceae	unclassified_Petrotogaceae	unclassified_Planctomycetaceae	unclassified_Planococcaceae	unclassified_Porphyromonadaceae	unclassified_Prevotellaceae	unclassified_Prolixibacteraceae	unclassified_Proteinivoraceae	unclassified_Pseudobacteriovoracaceae	unclassified_Puniceicoccaceae	unclassified_Rhodobacteraceae	unclassified_Rhodobiaceae	unclassified_Rhodocyclaceae	unclassified_Rhodospirillaceae	unclassified_Rickettsiaceae	unclassified_Rikenellaceae	unclassified_Ruminococcaceae	unclassified_Saprospiraceae	unclassified_Simkaniaceae	unclassified_Sinobacteraceae	unclassified_Sphingobacteriaceae	unclassified_Spirochaetaceae	unclassified_Sporolactobacillaceae	unclassified_Staphylococcaceae	unclassified_Streptococcaceae	unclassified_Succinivibrionaceae	unclassified_Sulfolobaceae	unclassified_Sutterellaceae	unclassified_Synergistaceae	unclassified_Syntrophaceae	unclassified_Syntrophobacteraceae	unclassified_Syntrophomonadaceae	unclassified_Syntrophorhabdaceae	unclassified_Thermoactinomycetaceae	unclassified_Thermoanaerobacteraceae	unclassified_Thermodesulfobacteriaceae	unclassified_Thermoplasmatales	unclassified_Thermotogaceae	unclassified_Vallitalea	unclassified_Veillonellaceae	unclassified_Verrucomicrobiaceae	unclassified_Victivallaceae	unclassified_Vulgatibacteraceae	unclassified_Woesearchaeota	unclassified_Xanthomonadaceae
DC121	0	0	0	0	2037193244.26982	0	0	0	0	1898293704.88779	740797543.370844	0	0	0	0	0	0	0	0	0	0	185199385.842711	92599692.9213555	0	0	0	0	2314992323.03389	92599692.9213555	787097389.831522	92599692.9213555	1759394165.50576	0	0	185199385.842711	46299846.4606778	0	0	0	0	0	0	0	0	0	0	509298311.067455	0	0	46299846.4606778	0	0	509298311.067455	0	46299846.4606778	138899539.382033	0	46299846.4606778	694497696.910167	0	92599692.9213555	0	0	0	0	0	0	0	0	0	92599692.9213555	10741564378.8772	92599692.9213555	138899539.382033	0	0	0	92599692.9213555	0	0	0	0	0	0	0	0	0	0	0	0	46299846.4606778	324098925.224744	0	0	138899539.382033	0	0	0	0	0	0	0	0	5741180961.12404	0	694497696.910167	0	231499232.303389	0	0	0	46299846.4606778	1898293704.88779	0	277799078.764067	0	92599692.9213555	0	0	0	0	0	0	0	0	92599692.9213555	0	2222392630.11253	0	0	0	0	46299846.4606778	0	0	0	231499232.303389	1759394165.50576	0	5555981575.28133	138899539.382033	0	0	0	0	0	0	0	0	0	0	0	740797543.370844	0	2639091248.25863	0	46299846.4606778	0	0	92599692.9213555	0	0	0	0	0	0	231499232.303389	0	0	0	0	0	0	0	46299846.4606778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46299846.4606778	0	46299846.4606778	231499232.303389	0	1203796007.97762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185199385.842711	92599692.9213555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3611388023.93287	0	0	0	46299846.4606778	0	0	46299846.4606778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46299846.4606778	0	0	0	0	0	0	0	138899539.382033	277799078.764067	0	0	0	0	0	0	0	0	0	0	7315375740.78709	0	0	0	0	0	0	0	0	0	0	92599692.9213555	0	0	0	0	0	0	46299846.4606778	0	0	0	0	601898003.988811	0	0	0	46299846.4606778	0
DC122	0	0	0	0	0	0	0	0	0	92586805.8150108	2592430562.8203	0	0	46293402.9075054	0	0	0	0	0	0	0	509227431.98256	0	0	0	0	46293402.9075054	25322491390.4055	1111041669.78013	46293402.9075054	0	3101657994.80286	0	0	277760417.445032	0	0	0	0	0	0	0	0	0	0	0	0	0	277760417.445032	370347223.260043	0	0	740694446.520087	0	0	740694446.520087	0	0	0	0	0	0	185173611.630022	0	0	0	0	46293402.9075054	0	0	0	14628715318.7717	0	0	0	694401043.612581	0	1018454863.96512	0	0	0	0	0	0	0	0	46293402.9075054	0	0	0	92586805.8150108	46293402.9075054	0	0	0	0	0	0	0	0	0	0	0	0	0	46293402.9075054	0	0	0	0	0	324053820.352538	0	46293402.9075054	46293402.9075054	0	0	0	0	46293402.9075054	0	0	0	0	46293402.9075054	0	0	46293402.9075054	0	0	0	0	0	0	0	0	0	12776979202.4715	46293402.9075054	2777604174.45032	92586805.8150108	0	0	0	0	46293402.9075054	0	0	0	0	185173611.630022	138880208.722516	0	0	0	46293402.9075054	0	0	0	0	0	46293402.9075054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92586805.8150108	0	0	0	0	0	0	0	0	0	0	0	0	46293402.9075054	0	0	0	0	46293402.9075054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370347223.260043	0	0	0	0	46293402.9075054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3564592023.87792	46293402.9075054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46293402.9075054	0	0	0	0	0	0	0	0	46293402.9075054	0	0	1157335072.68764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46293402.9075054	0	0	0	0	0	0	0	0
DC123	0	0	0	0	0	0	0	0	0	138833591.097979	2221337457.56767	0	0	0	0	46277863.6993265	0	0	0	0	0	3887340550.74342	0	0	0	0	0	9810907104.25721	370222909.594612	740445819.189223	694167955.489897	3933618414.44275	0	0	138833591.097979	0	46277863.6993265	0	0	0	0	0	0	0	0	0	1156946592.48316	0	46277863.6993265	138833591.097979	462778636.993265	92555727.3986529	833001546.587876	0	185111454.797306	786723682.88855	0	0	0	0	740445819.189223	0	185111454.797306	0	46277863.6993265	0	0	46277863.6993265	0	0	0	17585588205.7441	0	0	0	138833591.097979	0	740445819.189223	0	0	1249502319.88181	46277863.6993265	0	0	0	46277863.6993265	0	0	0	0	0	138833591.097979	0	0	92555727.3986529	0	46277863.6993265	0	0	0	0	0	0	46277863.6993265	0	0	46277863.6993265	0	0	0	0	46277863.6993265	46277863.6993265	0	231389318.496632	0	370222909.594612	0	92555727.3986529	2360171048.66565	0	0	0	0	0	46277863.6993265	0	0	0	0	0	0	46277863.6993265	0	0	0	0	16660030931.7575	0	323945045.895285	4026174141.8414	0	0	0	0	0	0	0	0	0	92555727.3986529	0	0	0	0	0	92555727.3986529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46277863.6993265	92555727.3986529	0	138833591.097979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46277863.6993265	0	277667182.195959	0	0	0	0	0	0	0	0	0	0	0	0	0	46277863.6993265	0	740445819.189223	46277863.6993265	0	0	0	0	0	0	46277863.6993265	0	0	0	0	0	0	0	0	0	0	0	8515126920.67607	0	0	46277863.6993265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92555727.3986529	0	0	46277863.6993265	46277863.6993265	0	0	0	0	0	92555727.3986529	0	0	0	0	46277863.6993265	0	0	0	92555727.3986529	46277863.6993265	46277863.6993265	5321954325.42254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC124	0	0	0	0	138798912.439095	0	138798912.439095	0	0	92532608.2927299	2683445640.48917	0	0	46266304.146365	0	0	0	0	46266304.146365	0	0	46266304.146365	0	0	0	0	46266304.146365	13509760810.7386	925326082.927299	4210233677.31921	46266304.146365	3469972810.97737	0	0	277597824.87819	0	46266304.146365	0	0	0	0	0	0	0	46266304.146365	0	138798912.439095	0	0	647728258.04911	0	46266304.146365	277597824.87819	0	46266304.146365	0	0	0	46266304.146365	0	138798912.439095	0	0	0	46266304.146365	0	0	1341722820.24458	0	46266304.146365	0	12306836902.9331	0	0	0	693994562.195475	0	0	0	0	185065216.58546	0	46266304.146365	0	0	46266304.146365	0	0	46266304.146365	0	0	0	0	0	601461953.902745	416396737.317285	0	0	46266304.146365	0	0	28268711833.429	46266304.146365	92532608.2927299	0	46266304.146365	0	0	0	46266304.146365	0	0	46266304.146365	0	323864129.024555	0	1526788036.83004	0	0	1989451078.29369	0	555195649.75638	46266304.146365	0	0	1619320645.12277	0	92532608.2927299	0	0	0	0	0	0	0	0	46266304.146365	5089293456.10015	46266304.146365	185065216.58546	231331520.731825	0	0	0	0	46266304.146365	0	0	0	0	1896918470.00096	0	46266304.146365	0	0	46266304.146365	0	0	0	0	46266304.146365	46266304.146365	0	0	0	0	46266304.146365	0	0	0	0	0	0	46266304.146365	0	0	0	0	0	0	0	0	0	0	0	46266304.146365	0	0	0	46266304.146365	0	92532608.2927299	46266304.146365	0	46266304.146365	0	0	0	0	0	0	0	0	0	0	46266304.146365	0	0	277597824.87819	46266304.146365	832793474.634569	0	0	0	0	0	0	0	0	0	46266304.146365	0	0	0	0	0	0	0	0	0	4163967373.17285	138798912.439095	46266304.146365	0	0	0	0	0	0	0	0	0	0	0	0	46266304.146365	0	0	0	0	0	0	0	0	0	46266304.146365	0	0	0	0	0	0	92532608.2927299	46266304.146365	92532608.2927299	0	0	0	0	0	0	0	0	0	1896918470.00096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185065216.58546	0	0	0	0	0
DC126	0	0	0	0	0	46285114.2045369	0	0	0	231425571.022684	185140456.818147	0	0	46285114.2045369	0	0	0	0	0	0	0	0	0	0	46285114.2045369	0	0	555421370.454442	46285114.2045369	185140456.818147	92570228.4090737	92570228.4090737	0	0	46285114.2045369	0	46285114.2045369	0	0	0	46285114.2045369	0	0	0	0	0	185140456.818147	0	0	46285114.2045369	0	138855342.613611	0	0	0	0	0	46285114.2045369	0	0	46285114.2045369	0	46285114.2045369	0	0	0	0	0	0	46285114.2045369	0	231425571.022684	0	0	0	0	0	0	92570228.4090737	46285114.2045369	0	0	46285114.2045369	0	0	46285114.2045369	0	0	0	0	0	92570228.4090737	0	0	79564111317.5989	46285114.2045369	0	0	0	0	0	0	0	138855342.613611	0	46285114.2045369	0	0	0	0	0	46285114.2045369	46285114.2045369	0	46285114.2045369	0	92570228.4090737	0	0	0	0	0	46285114.2045369	0	0	0	0	138855342.613611	0	0	0	0	0	0	0	0	0	277710685.227221	46285114.2045369	138855342.613611	185140456.818147	0	0	0	0	0	0	0	46285114.2045369	0	509136256.249906	277710685.227221	0	0	0	0	92570228.4090737	0	0	0	92570228.4090737	0	0	0	0	46285114.2045369	0	0	0	0	0	0	0	46285114.2045369	0	0	92570228.4090737	0	0	0	0	0	0	46285114.2045369	0	46285114.2045369	0	0	0	0	0	46285114.2045369	46285114.2045369	46285114.2045369	185140456.818147	0	46285114.2045369	0	0	0	0	0	0	0	0	0	0	0	277710685.227221	0	0	0	0	0	0	0	0	0	46285114.2045369	0	0	0	0	0	0	0	0	0	0	0	416566027.840832	277710685.227221	0	0	46285114.2045369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46285114.2045369	0	0	0	92570228.4090737	0	92570228.4090737	0	0	0	0	0	0	92570228.4090737	0	0	694276713.068053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46285114.2045369	0	46285114.2045369	0	0	0	0	0
DC127	0	0	0	0	1158570928.41382	0	0	0	0	0	602456882.775184	0	0	0	0	0	0	0	0	0	0	834171068.457947	0	0	0	0	0	5144054922.15734	0	648799719.911737	139028511.409658	1204913765.55037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46342837.1365526	0	0	46342837.1365526	46342837.1365526	0	0	0	0	46342837.1365526	0	0	0	0	231714185.682763	0	0	0	0	0	0	46342837.1365526	0	0	0	4680626550.79181	0	0	0	0	0	370742697.092421	0	0	509771208.502079	0	0	0	0	0	0	0	0	0	46342837.1365526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46342837.1365526	0	0	0	0	0	0	92685674.2731052	0	46342837.1365526	0	370742697.092421	0	0	92685674.2731052	0	0	0	0	0	46342837.1365526	0	0	0	0	0	0	0	0	0	0	92685674.2731052	3383027110.96834	0	185371348.54621	1251256602.68692	0	0	0	0	0	0	0	0	0	92685674.2731052	0	0	0	0	0	231714185.682763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278057022.819316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2919598739.60281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2224456182.55453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC128	0	0	0	0	417896193.812628	0	0	0	0	0	185731641.694501	0	0	92865820.8472506	0	46432910.4236253	0	0	0	0	0	92865820.8472506	0	0	0	0	0	1764450596.09776	0	696493656.35438	0	696493656.35438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185731641.694501	0	0	46432910.4236253	46432910.4236253	0	0	0	46432910.4236253	0	0	0	0	0	46432910.4236253	0	0	0	0	0	0	0	0	325030372.965377	0	650060745.930755	0	139298731.270876	0	46432910.4236253	0	0	0	0	139298731.270876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92865820.8472506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46432910.4236253	139298731.270876	0	0	185731641.694501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46432910.4236253	0	46432910.4236253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2043048058.63951	0	278597462.541752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510762014.659879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46432910.4236253	0	0	0	0	0	0	0	0	0	1300121491.86151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DC13	0	0	0	0	46269270.4354543	0	0	0	0	46269270.4354543	231346352.177271	0	0	0	0	0	0	0	0	0	0	555231245.225451	0	0	0	0	0	15268859243.6999	46269270.4354543	1943309358.28908	0	3840349446.1427	0	0	185077081.741817	46269270.4354543	0	0	0	0	0	0	0	0	0	0	185077081.741817	0	92538540.8709085	925385408.709085	0	0	92538540.8709085	0	0	0	0	0	0	0	323884893.04818	0	0	0	0	0	0	0	0	416423433.919088	0	185077081.741817	0	0	0	231346352.177271	0	0	3609003093.96543	0	92538540.8709085	0	0	0	0	0	0	0	0	0	0	0	0	0	46269270.4354543	0	0	0	0	0	0	0	46269270.4354543	46269270.4354543	0	0	0	0	0	0	0	46269270.4354543	0	0	0	0	231346352.177271	0	0	4719465584.41634	0	0	0	0	0	0	0	46269270.4354543	0	0	0	0	0	0	0	0	0	647769786.09636	0	46269270.4354543	508961974.789997	0	0	0	0	0	0	0	0	0	1434347383.49908	0	0	0	0	0	46269270.4354543	0	0	0	0	92538540.8709085	0	0	0	0	0	0	0	0	46269270.4354543	0	0	0	46269270.4354543	0	92538540.8709085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46269270.4354543	0	0	1156731760.88636	0	277615622.612726	0	0	0	0	0	832846867.838177	0	46269270.4354543	0	0	0	0	0	0	0	0	0	0	0	8837430653.17176	0	0	0	0	0	0	0	0	0	0	0	0	46269270.4354543	0	0	0	0	0	0	46269270.4354543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46269270.4354543	0	0	138807811.306363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46269270.4354543	0	0	0	46269270.4354543	0
DC132	0	0	0	0	0	46281843.6112946	0	0	0	185127374.445178	10367132968.93	0	0	0	0	46281843.6112946	0	0	0	0	0	16568900012.8435	46281843.6112946	0	0	0	0	19392092473.1324	879355028.614597	10228287438.0961	231409218.056473	5368693858.91017	0	0	462818436.112946	46281843.6112946	0	0	0	0	0	0	0	0	0	0	323972905.279062	0	46281843.6112946	46281843.6112946	462818436.112946	46281843.6112946	694227654.169419	0	0	370254748.890357	0	323972905.279062	0	0	1481018995.56143	0	46281843.6112946	0	46281843.6112946	0	0	46281843.6112946	0	0	0	14023398614.2223	0	46281843.6112946	0	0	0	601663966.94683	0	0	46281843.6112946	92563687.2225892	0	0	0	0	46281843.6112946	0	0	0	0	0	0	0	92563687.2225892	0	0	0	0	0	0	0	46281843.6112946	0	0	0	0	46281843.6112946	0	0	0	185127374.445178	92563687.2225892	0	323972905.279062	0	1064482403.05978	0	46281843.6112946	46281843.6112946	46281843.6112946	0	0	0	0	92563687.2225892	0	277691061.667767	0	0	0	0	0	0	0	0	0	3795111176.12616	0	370254748.890357	3424856427.2358	0	0	0	46281843.6112946	0	0	0	0	0	509100279.72424	0	0	0	0	46281843.6112946	138845530.833884	0	0	0	0	46281843.6112946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138845530.833884	0	0	0	0	0	0	46281843.6112946	0	0	0	0	0	92563687.2225892	0	46281843.6112946	231409218.056473	46281843.6112946	92563687.2225892	0	0	0	0	0	0	0	0	0	0	46281843.6112946	0	0	92563687.2225892	46281843.6112946	231409218.056473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11477897215.6011	0	0	0	46281843.6112946	0	0	0	0	0	0	0	0	0	46281843.6112946	0	0	0	0	0	0	0	0	0	0	46281843.6112946	0	0	0	0	0	0	1666146370.0066	92563687.2225892	92563687.2225892	0	0	46281843.6112946	0	0	0	509100279.72424	0	46281843.6112946	9580341627.53798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647945810.558124	0	0	0	0	0
DC133	0	0	0	0	0	0	0	0	0	92603460.5211455	1713164019.64119	46301730.2605727	0	1759465749.90176	0	0	0	0	0	0	0	601922493.387446	0	0	0	0	0	5834018012.83216	0	46301730.2605727	0	1990974401.20463	0	0	324112111.824009	138905190.781718	0	0	0	0	0	46301730.2605727	0	46301730.2605727	0	0	324112111.824009	0	46301730.2605727	46301730.2605727	92603460.5211455	46301730.2605727	46301730.2605727	0	138905190.781718	185206921.042291	0	0	185206921.042291	0	463017302.605727	0	46301730.2605727	0	0	0	0	0	0	1944672670.94406	0	3194819387.97952	0	0	0	46301730.2605727	0	509319032.8663	46301730.2605727	0	185206921.042291	0	0	0	0	46301730.2605727	46301730.2605727	0	0	0	0	0	0	46301730.2605727	46301730.2605727	0	0	0	0	0	0	0	0	0	0	0	0	92603460.5211455	46301730.2605727	0	0	185206921.042291	0	0	46301730.2605727	0	231508651.302864	0	0	92603460.5211455	0	0	46301730.2605727	0	0	46301730.2605727	0	46301730.2605727	0	0	0	0	0	0	0	0	46301730.2605727	10510492769.15	0	92603460.5211455	1574258828.85947	0	0	185206921.042291	0	0	0	0	0	0	2407689973.54978	0	0	0	0	0	46301730.2605727	0	0	0	0	92603460.5211455	46301730.2605727	0	0	0	0	0	0	0	0	0	0	0	0	0	92603460.5211455	0	0	0	0	0	0	0	0	46301730.2605727	0	0	0	0	0	46301730.2605727	0	0	46301730.2605727	0	0	0	0	46301730.2605727	0	0	0	0	0	0	0	0	10464191038.8894	0	92603460.5211455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3102215927.45837	0	0	0	0	0	0	0	0	0	0	0	0	0	46301730.2605727	0	0	0	0	46301730.2605727	0	0	0	0	0	0	0	0	0	0	0	0	324112111.824009	46301730.2605727	0	0	0	0	0	0	0	46301730.2605727	0	0	4861681677.36014	0	0	0	46301730.2605727	0	0	0	0	0	0	277810381.563436	0	0	0	0	0	0	0	0	0	0	0	46301730.2605727	0	0	0	0	0
DC135	0	0	0	0	0	0	0	0	0	46266164.8058748	138798494.417624	0	0	508927812.864622	0	0	0	0	0	0	0	231330824.029374	0	0	0	0	0	231330824.029374	0	693992472.088121	0	693992472.088121	0	0	138798494.417624	46266164.8058748	0	0	0	0	138798494.417624	0	0	0	0	0	92532329.6117495	0	0	0	0	92532329.6117495	740258636.893996	0	46266164.8058748	370129318.446998	0	46266164.8058748	879057131.31162	0	601460142.476372	0	0	0	0	0	0	231330824.029374	0	92532329.6117495	0	2775969888.35249	0	0	0	0	0	0	0	0	0	0	0	0	0	185064659.223499	0	0	0	0	46266164.8058748	46266164.8058748	0	0	508927812.864622	0	0	0	0	0	0	0	0	138798494.417624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46266164.8058748	0	0	185064659.223499	0	0	46266164.8058748	0	8374175829.86333	0	0	0	0	0	0	0	0	138798494.417624	786524801.699871	0	323863153.641123	370129318.446998	0	0	46266164.8058748	46266164.8058748	0	0	0	0	0	0	0	0	0	0	0	46266164.8058748	0	0	0	0	46266164.8058748	0	0	0	0	46266164.8058748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46266164.8058748	0	231330824.029374	0	0	0	0	0	0	0	0	0	0	0	0	0	370129318.446998	0	138798494.417624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1619315768.20562	46266164.8058748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46266164.8058748	0	0	0	0	0	0	0	185064659.223499	0	0	0	0	0	0	0	0	0	0	693992472.088121	0	0	0	0	0	0	0	0	0	0	46266164.8058748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
