#OTU ID	parkinsonfecalbacteria.C1	parkinsonfecalbacteria.C5	parkinsonfecalbacteria.C14	parkinsonfecalbacteria.C15	parkinsonfecalbacteria.C18	parkinsonfecalbacteria.C19	parkinsonfecalbacteria.C21	parkinsonfecalbacteria.C24	parkinsonfecalbacteria.C26	parkinsonfecalbacteria.C32	parkinsonfecalbacteria.C34	parkinsonfecalbacteria.C35	parkinsonfecalbacteria.C44	parkinsonfecalbacteria.C46	parkinsonfecalbacteria.C49	parkinsonfecalbacteria.C51	parkinsonfecalbacteria.C52	parkinsonfecalbacteria.C58	parkinsonfecalbacteria.C63	parkinsonfecalbacteria.C68	parkinsonfecalbacteria.C70	parkinsonfecalbacteria.C72	parkinsonfecalbacteria.C73	parkinsonfecalbacteria.C74	parkinsonfecalbacteria.C76	parkinsonfecalbacteria.C79	parkinsonfecalbacteria.C80	parkinsonfecalbacteria.C82	parkinsonfecalbacteria.C85	parkinsonfecalbacteria.C86	parkinsonfecalbacteria.C87	parkinsonfecalbacteria.C88	parkinsonfecalbacteria.C89	parkinsonfecalbacteria.C90	parkinsonfecalbacteria.C95	parkinsonfecalbacteria.C98	parkinsonfecalbacteria.C102	parkinsonfecalbacteria.C103	parkinsonfecalbacteria.C104	parkinsonfecalbacteria.C105	parkinsonfecalbacteria.C107	parkinsonfecalbacteria.C111	parkinsonfecalbacteria.C114	parkinsonfecalbacteria.C116	parkinsonfecalbacteria.C118	parkinsonfecalbacteria.C119	parkinsonfecalbacteria.C123	parkinsonfecalbacteria.C124	parkinsonfecalbacteria.C134	parkinsonfecalbacteria.C135	parkinsonfecalbacteria.C136	parkinsonfecalbacteria.C137	parkinsonfecalbacteria.C142	parkinsonfecalbacteria.C143	parkinsonfecalbacteria.C146	parkinsonfecalbacteria.P8	parkinsonfecalbacteria.P9	parkinsonfecalbacteria.P11	parkinsonfecalbacteria.P12	parkinsonfecalbacteria.P16	parkinsonfecalbacteria.P17	parkinsonfecalbacteria.P24	parkinsonfecalbacteria.P26	parkinsonfecalbacteria.P28	parkinsonfecalbacteria.P31	parkinsonfecalbacteria.P34	parkinsonfecalbacteria.P37	parkinsonfecalbacteria.P41	parkinsonfecalbacteria.P42	parkinsonfecalbacteria.P43	parkinsonfecalbacteria.P45	parkinsonfecalbacteria.P50	parkinsonfecalbacteria.P51	parkinsonfecalbacteria.P53	parkinsonfecalbacteria.P56	parkinsonfecalbacteria.P57	parkinsonfecalbacteria.P59	parkinsonfecalbacteria.P61	parkinsonfecalbacteria.P63	parkinsonfecalbacteria.P65	parkinsonfecalbacteria.P66	parkinsonfecalbacteria.P68	parkinsonfecalbacteria.P69	parkinsonfecalbacteria.P71	parkinsonfecalbacteria.P73	parkinsonfecalbacteria.P74	parkinsonfecalbacteria.P77	parkinsonfecalbacteria.P79	parkinsonfecalbacteria.P83	parkinsonfecalbacteria.P85	parkinsonfecalbacteria.P87	parkinsonfecalbacteria.P88	parkinsonfecalbacteria.P93	parkinsonfecalbacteria.P94	parkinsonfecalbacteria.P95	parkinsonfecalbacteria.P99	parkinsonfecalbacteria.P100	parkinsonfecalbacteria.P103	parkinsonfecalbacteria.P105	parkinsonfecalbacteria.P107	parkinsonfecalbacteria.P112	parkinsonfecalbacteria.P113	parkinsonfecalbacteria.P114	parkinsonfecalbacteria.P115	parkinsonfecalbacteria.P116	parkinsonfecalbacteria.P117	parkinsonfecalbacteria.P119	parkinsonfecalbacteria.P120
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Acetanaerobacterium	0	2	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Anaerofilum	2	0	1	3	0	0	0	0	0	0	2	3	0	0	2	0	0	16	0	0	0	8	0	1	1	0	1	0	1	0	3	0	0	0	3	1	0	1	0	0	2	0	6	0	0	1	0	0	0	0	3	3	3	0	0	0	0	8	13	3	1	6	5	0	0	0	12	3	0	0	3	0	24	0	4	0	1	0	0	1	0	0	1	2	0	1	0	0	2	1	1	4	1	0	0	5	0	3	1	0	0	0	14	0	0	0	2	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Butyricicoccus	3	2	9	11	7	9	1	0	4	7	5	5	4	5	0	3	7	3	5	3	4	1	2	18	7	1	2	19	11	21	10	2	0	2	8	7	29	4	12	6	2	2	3	0	8	6	9	5	5	5	10	0	0	2	50	1	1	2	2	0	5	9	0	4	2	1	3	18	0	5	0	2	3	4	8	0	0	16	2	1	7	11	2	0	21	0	9	4	4	2	1	0	2	1	3	2	1	3	0	7	1	0	0	4	8	8	6	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Clostridium_IV	0	4	16	15	32	1	16	70	158	1	1	501	7	1	2	1	0	8	23	1	72	7	69	12	104	12	6	1	3	1	1	9	5	13	262	3	9	187	1	74	2	3	63	0	24	26	5	29	3	43	65	13	11	155	34	78	12	10	13	68	0	42	5	10	2	3	9	208	0	18	5	355	36	1	120	0	0	0	11	43	7	21	6	43	14	70	9	45	37	3	3	5	1	1	0	219	68	61	12	14	4	11	5	1	1	1	3	27
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Ethanoligenens	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Faecalibacterium	80	163	225	272	107	74	44	145	217	27	28	65	31	41	19	175	100	65	23	33	109	71	80	150	28	40	78	72	168	124	74	131	26	30	95	7	14	231	84	23	89	91	51	2	188	53	73	22	246	71	30	12	53	66	214	10	124	25	7	44	78	139	1	45	83	47	104	104	176	67	12	90	81	78	15	143	8	89	126	42	84	84	44	0	33	270	90	83	96	110	62	122	31	183	0	112	26	1	25	106	146	14	52	55	96	88	128	101
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Flavonifractor	1	4	2	4	0	3	4	5	3	2	5	28	1	4	6	16	6	9	17	4	7	31	6	17	11	13	13	9	3	7	24	4	12	5	4	2	12	16	9	13	11	37	138	29	7	5	11	12	2	7	6	60	20	12	6	2	7	12	3	2	3	6	17	10	6	14	2	19	22	1	10	1	15	10	13	2	8	1	4	10	18	7	1	16	5	5	2	13	9	7	7	4	16	4	51	12	18	2	7	14	3	9	8	6	11	3	12	5
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Gemmiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	41	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Hydrogenoanaerobacterium	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Oscillibacter	66	64	26	33	29	65	46	27	65	20	103	157	33	31	58	11	8	332	4	59	41	51	37	87	221	51	35	84	86	71	148	16	41	66	214	7	14	96	111	147	13	58	67	111	70	34	95	54	57	135	28	45	81	369	72	61	127	48	13	102	46	5	62	82	82	153	22	47	3	141	36	15	101	127	133	46	2	22	50	29	88	60	143	27	89	237	16	46	52	74	79	49	15	72	55	190	58	82	95	213	55	209	14	77	58	64	81	48
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Pseudoflavonifractor	0	22	6	0	0	0	1	3	13	0	1	34	0	0	20	22	32	0	30	0	10	35	1	0	14	5	10	1	2	4	24	3	3	3	11	19	30	12	7	6	14	1	17	4	6	6	2	3	0	26	11	64	4	9	0	12	24	9	3	2	6	4	9	10	2	8	8	32	14	5	0	17	12	3	24	2	8	1	2	5	5	9	10	82	3	16	3	30	2	21	13	10	5	0	4	4	6	5	14	10	3	8	12	2	2	19	2	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Ruminococcus	8	31	0	0	0	6	26	57	6	8	29	103	0	16	75	38	58	8	29	22	15	6	20	14	0	6	9	7	0	12	7	18	45	26	28	0	6	24	0	4	0	43	23	0	10	0	20	11	2	14	24	26	0	8	36	0	26	20	5	0	50	27	13	0	5	8	21	0	21	16	31	9	126	47	12	0	3	7	43	70	20	0	0	0	0	45	5	0	40	89	36	24	15	129	2	436	4	10	29	5	0	0	0	0	49	0	78	27
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Sporobacter	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Subdoligranulum	5	4	22	22	15	3	19	191	15	0	12	6	2	11	22	13	29	10	2	20	44	0	41	13	0	9	17	20	7	14	0	4	9	4	11	0	33	63	38	27	0	10	123	37	8	2	11	2	9	6	7	0	21	59	41	5	32	18	2	49	13	21	12	2	88	20	5	6	0	2	2	3	10	1	5	59	13	56	33	7	4	7	6	0	23	17	2	13	0	49	6	35	10	16	0	51	0	8	1	13	184	11	2	5	25	18	31	8
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__	0	1	20	10	6	0	1	9	26	0	1	3	3	32	0	0	4	3	3	2	17	3	7	2	5	13	16	8	17	30	1	0	5	6	3	31	11	74	3	14	35	4	10	4	2	32	12	20	2	79	22	0	12	8	130	3	16	1	11	0	2	9	9	10	14	0	0	12	2	3	1	1	7	10	21	5	0	5	7	150	9	2	2	0	6	19	10	12	3	3	8	10	9	5	0	7	0	0	3	4	20	0	0	1	7	46	26	6
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Catenibacterium	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	30	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Clostridium_XVIII	0	14	3	3	4	2	0	0	1	5	0	8	0	1	1	3	1	6	13	0	1	0	0	0	0	8	44	0	3	0	2	2	0	0	2	0	0	5	0	0	10	2	3	0	0	0	4	0	2	3	0	31	4	0	0	0	15	0	2	0	2	12	2	1	1	0	0	83	5	4	3	0	10	4	1	1	0	0	0	26	0	44	0	71	2	1	2	6	0	2	0	0	1	10	0	3	2	0	14	2	0	0	40	1	1	6	1	1
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Coprobacillus	0	0	0	0	0	0	2	3	0	0	0	11	0	0	2	0	0	35	0	0	0	0	0	0	0	48	0	0	9	0	0	0	0	0	5	0	0	0	0	0	3	0	0	316	0	0	0	45	0	0	0	1	6	0	0	0	0	0	54	0	2	46	0	2	0	0	69	1	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	4	1	43	0	0	1	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Erysipelotrichaceae_incertae_sedis	2	0	0	0	0	0	0	1	0	0	5	0	12	0	0	2	0	1	3	31	0	8	0	72	3	0	1	34	0	2	0	33	0	0	270	5	0	0	183	0	0	11	0	11	120	0	157	320	1	1	64	7	18	42	1	16	2	0	127	7	0	1	36	1	0	0	5	4	5	0	21	22	0	0	0	126	0	0	0	0	0	0	83	1	0	0	0	2	0	63	121	57	43	0	7	0	4	32	5	0	0	51	1	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Holdemania	0	0	0	3	1	1	1	2	3	0	0	8	0	2	0	9	2	0	6	0	1	0	0	0	4	2	2	0	2	0	11	3	0	0	2	0	2	4	3	0	2	0	3	0	1	4	2	1	2	5	0	61	0	0	8	0	0	1	1	0	0	1	0	1	4	0	1	0	17	1	0	1	1	1	5	0	0	0	3	0	5	5	1	0	1	4	2	15	5	0	0	1	0	3	0	7	0	1	1	4	1	1	0	2	0	6	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Solobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__Turicibacter	3	0	3	0	0	0	0	0	0	4	0	4	0	0	0	1	2	0	0	1	0	0	1	0	0	5	0	0	0	0	0	9	0	0	0	0	0	1	3	0	0	0	0	14	0	0	0	2	0	0	1	0	0	0	5	0	2	0	0	0	0	0	0	0	2	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	11	0	0	0	0	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Acidaminococcaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Acidaminococcaceae._.g__Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0	0	0	0	0	0	0	0	6	0	0	12	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Acidaminococcaceae._.g__Phascolarctobacterium	48	0	41	0	0	2	0	0	29	0	56	162	0	86	105	84	0	0	154	0	0	0	0	0	0	159	23	0	173	53	0	0	20	0	0	74	0	0	0	7	0	20	99	0	0	33	0	0	0	8	62	239	46	285	0	12	0	58	0	0	0	0	75	0	64	19	0	0	0	0	0	69	0	0	119	0	0	57	35	96	0	0	0	93	0	0	28	0	64	11	10	70	0	63	0	0	0	53	25	0	32	0	94	0	0	94	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Acidaminococcaceae._.g__Succinispira	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Allisonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	16	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Dialister	103	62	0	94	44	110	20	0	0	64	0	0	11	0	0	1	34	95	0	43	0	33	7	87	0	2	5	0	0	0	49	69	1	25	39	0	122	18	104	60	0	19	0	0	0	0	0	119	85	0	0	0	0	47	80	26	110	1	35	36	83	6	45	75	11	181	0	16	58	87	0	0	0	0	0	88	0	0	0	0	7	112	44	1	180	96	0	0	0	0	157	10	0	0	52	0	0	0	6	0	133	0	1	0	54	0	51	363
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Megamonas	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
k__Bacteria._.p__Firmicutes._.c__Negativicutes._.o__Selenomonadales._.f__Veillonellaceae._.g__Veillonella	0	0	7	1	9	53	1	0	1	12	3	0	18	1	0	5	0	0	0	0	15	0	1	1	0	0	1	1	1	57	0	1	0	0	0	0	0	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	26	16	0	0	1	1	0	4	0	0	2	0	5	234	0	2	0	0	0	0	5	1	393	0	1	0	2	0	3	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0
k__Bacteria._.p__Fusobacteria._.c__Fusobacteriia._.o__Fusobacteriales._.f__Fusobacteriaceae._.g__Clostridium_XIX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Lentisphaerae._.c__Lentisphaeria._.o__Victivallales._.f__Victivallaceae._.g__Victivallis	0	0	0	0	0	1	0	0	3	0	6	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	2	0	0	0	2	54	0	0	2	6	0	0	11	0	0	0	0	39	0	8	0	1	0	0	17	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	5	16	0	0	4	4	0	2	0	3	0	0	0	7	0	4	3	6	6	1	0	0	0	0	5	0	5	0	3	8	54	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__._.o__._.f__._.g__	0	0	0	0	0	0	0	2	5	0	1	0	4	0	0	0	30	0	0	2	4	0	0	6	3	0	0	8	0	7	34	0	0	0	0	0	0	0	0	4	4	3	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	1	0	0	0	27	0	0	8	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	7	1	4	1	42	0	0
k__Bacteria._.p__Proteobacteria._.c__Alphaproteobacteria._.o__._.f__._.g__	0	0	0	7	0	0	0	0	8	0	5	0	3	7	0	0	0	0	0	0	0	0	0	0	6	1	0	7	7	0	30	0	0	5	0	0	3	0	0	0	0	0	0	0	1	0	7	0	4	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	19	0	0	0	1	0	0	102	7	0	26	0	0	1	0	1	0	9	2	5	0	0	0	7	29	0	5	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Betaproteobacteria._.o__._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Betaproteobacteria._.o__Burkholderiales._.f__._.g__	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	19	0	28	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	5	0	14	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	0	0
k__Bacteria._.p__Proteobacteria._.c__Betaproteobacteria._.o__Burkholderiales._.f__Comamonadaceae._.g__Comamonas	84	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Betaproteobacteria._.o__Burkholderiales._.f__Oxalobacteraceae._.g__Oxalobacter	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Betaproteobacteria._.o__Burkholderiales._.f__Sutterellaceae._.g__Parasutterella	17	0	12	30	4	17	22	7	1	8	0	0	0	0	2	8	0	3	15	18	0	3	0	28	3	11	0	8	2	4	46	0	3	0	0	1	81	13	24	24	1	7	8	5	3	1	40	0	6	0	4	0	0	0	20	6	22	0	4	0	0	0	0	9	16	13	0	20	0	17	1	16	1	0	0	1	41	19	2	6	0	15	0	17	56	22	0	18	0	3	0	10	14	14	41	0	10	0	6	6	2	3	0	10	0	0	22	10
k__Bacteria._.p__Proteobacteria._.c__Betaproteobacteria._.o__Burkholderiales._.f__Sutterellaceae._.g__Sutterella	1	0	0	0	0	18	0	0	43	0	23	0	47	36	91	0	89	0	137	0	67	37	38	7	13	0	0	51	14	41	0	120	1	0	44	0	0	0	1	0	7	6	0	0	27	48	37	31	0	0	0	0	79	8	0	0	0	65	26	0	93	18	10	0	0	11	10	0	0	0	0	24	41	8	69	13	0	29	26	12	15	0	0	0	0	0	31	0	23	9	18	0	0	0	0	20	8	1	0	6	46	7	10	0	29	0	20	11
k__Bacteria._.p__Proteobacteria._.c__Gammaproteobacteria._.o__Aeromonadales._.f__Succinivibrionaceae._.g__Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Gammaproteobacteria._.o__Enterobacteriales._.f__Enterobacteriaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	28	0	0	117	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	7	0	8	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	2	0	1	56	0	3	3	22	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Proteobacteria._.c__Gammaproteobacteria._.o__Enterobacteriales._.f__Enterobacteriaceae._.g__Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
