#OTU ID	parkinsonfecalbacteria.C1	parkinsonfecalbacteria.C5	parkinsonfecalbacteria.C14	parkinsonfecalbacteria.C15	parkinsonfecalbacteria.C18	parkinsonfecalbacteria.C19	parkinsonfecalbacteria.C21	parkinsonfecalbacteria.C24	parkinsonfecalbacteria.C26	parkinsonfecalbacteria.C32	parkinsonfecalbacteria.C34	parkinsonfecalbacteria.C35	parkinsonfecalbacteria.C44	parkinsonfecalbacteria.C46	parkinsonfecalbacteria.C49	parkinsonfecalbacteria.C51	parkinsonfecalbacteria.C52	parkinsonfecalbacteria.C58	parkinsonfecalbacteria.C63	parkinsonfecalbacteria.C68	parkinsonfecalbacteria.C70	parkinsonfecalbacteria.C72	parkinsonfecalbacteria.C73	parkinsonfecalbacteria.C74	parkinsonfecalbacteria.C76	parkinsonfecalbacteria.C79	parkinsonfecalbacteria.C80	parkinsonfecalbacteria.C82	parkinsonfecalbacteria.C85	parkinsonfecalbacteria.C86	parkinsonfecalbacteria.C87	parkinsonfecalbacteria.C88	parkinsonfecalbacteria.C89	parkinsonfecalbacteria.C90	parkinsonfecalbacteria.C95	parkinsonfecalbacteria.C98	parkinsonfecalbacteria.C102	parkinsonfecalbacteria.C103	parkinsonfecalbacteria.C104	parkinsonfecalbacteria.C105	parkinsonfecalbacteria.C107	parkinsonfecalbacteria.C111	parkinsonfecalbacteria.C114	parkinsonfecalbacteria.C116	parkinsonfecalbacteria.C118	parkinsonfecalbacteria.C119	parkinsonfecalbacteria.C123	parkinsonfecalbacteria.C124	parkinsonfecalbacteria.C134	parkinsonfecalbacteria.C135	parkinsonfecalbacteria.C136	parkinsonfecalbacteria.C137	parkinsonfecalbacteria.C142	parkinsonfecalbacteria.C143	parkinsonfecalbacteria.C146	parkinsonfecalbacteria.P8	parkinsonfecalbacteria.P9	parkinsonfecalbacteria.P11	parkinsonfecalbacteria.P12	parkinsonfecalbacteria.P16	parkinsonfecalbacteria.P17	parkinsonfecalbacteria.P24	parkinsonfecalbacteria.P26	parkinsonfecalbacteria.P28	parkinsonfecalbacteria.P31	parkinsonfecalbacteria.P34	parkinsonfecalbacteria.P37	parkinsonfecalbacteria.P41	parkinsonfecalbacteria.P42	parkinsonfecalbacteria.P43	parkinsonfecalbacteria.P45	parkinsonfecalbacteria.P50	parkinsonfecalbacteria.P51	parkinsonfecalbacteria.P53	parkinsonfecalbacteria.P56	parkinsonfecalbacteria.P57	parkinsonfecalbacteria.P59	parkinsonfecalbacteria.P61	parkinsonfecalbacteria.P63	parkinsonfecalbacteria.P65	parkinsonfecalbacteria.P66	parkinsonfecalbacteria.P68	parkinsonfecalbacteria.P69	parkinsonfecalbacteria.P71	parkinsonfecalbacteria.P73	parkinsonfecalbacteria.P74	parkinsonfecalbacteria.P77	parkinsonfecalbacteria.P79	parkinsonfecalbacteria.P83	parkinsonfecalbacteria.P85	parkinsonfecalbacteria.P87	parkinsonfecalbacteria.P88	parkinsonfecalbacteria.P93	parkinsonfecalbacteria.P94	parkinsonfecalbacteria.P95	parkinsonfecalbacteria.P99	parkinsonfecalbacteria.P100	parkinsonfecalbacteria.P103	parkinsonfecalbacteria.P105	parkinsonfecalbacteria.P107	parkinsonfecalbacteria.P112	parkinsonfecalbacteria.P113	parkinsonfecalbacteria.P114	parkinsonfecalbacteria.P115	parkinsonfecalbacteria.P116	parkinsonfecalbacteria.P117	parkinsonfecalbacteria.P119	parkinsonfecalbacteria.P120
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Dorea	3	1	5	2	4	2	3	3	2	3	1	11	0	2	0	11	3	3	4	1	0	0	7	5	4	8	21	2	0	0	2	6	1	16	64	4	14	7	6	10	10	1	13	11	14	8	8	20	1	4	10	0	15	10	3	1	4	2	2	0	5	2	2	0	2	1	5	20	3	1	3	6	17	2	0	5	0	2	4	10	6	0	3	1	5	0	1	2	8	14	9	4	0	2	0	0	2	9	3	2	9	0	24	1	4	29	3	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnoanaerobaculum	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	9	0	0	0	1	0	0	0	2	5	0	0	0	0	1	2	0	2	0	3	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	3	3	2	0	0	0	0	0	1	0	2	0	0	2	1	0	0	3	3	0	0	0	0	1	0	0	0	2	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnobacterium	0	2	0	7	0	17	5	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	18	0	12	0	2	0	0	0	0	0	0	10	2	0	0	0	2	0	0	0	0	0	2	0	0	5	1	0	0	0	0	3	1	0	0	0	0	0	0	5	0	0	2	0	0	0	2	2	0	0	0	0	0	2	0	0	0	2	1	2	4	306	2	0	18	0	1	0	0	0	3	0	0	12	0	0	0	0	3	0	0	0	0	11	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospiracea_incertae_sedis	76	80	213	930	638	104	113	131	355	75	57	257	23	114	117	391	431	163	65	382	372	254	512	116	390	160	214	97	97	613	338	388	114	39	46	455	40	177	178	87	150	106	28	7	54	309	245	75	314	109	206	48	398	136	525	146	19	181	95	205	262	184	12	93	196	232	121	577	71	118	105	394	79	271	130	156	8	251	96	51	249	94	183	38	34	117	122	533	205	45	170	141	75	254	16	22	87	46	330	116	243	50	62	271	346	234	255	92
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Marvinbryantia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	39	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Roseburia	313	82	409	175	78	115	3	89	65	36	2	14	33	176	71	21	58	3	8	26	188	11	53	30	11	0	5	28	363	43	53	36	8	54	99	66	84	256	140	19	146	0	2	0	115	48	50	2	75	23	14	106	14	53	252	0	152	1	6	13	56	103	58	2	327	0	10	20	303	75	2	17	15	124	8	164	325	61	128	10	4	46	28	5	40	1	26	6	158	2	11	13	1	8	3	2	3	11	76	24	119	23	12	11	21	316	1	46
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Ruminococcus2	9	14	12	25	9	4	7	9	6	2	3	29	5	18	4	43	20	8	23	5	3	7	8	9	4	16	23	4	9	14	27	14	0	9	27	0	17	37	9	50	13	0	410	275	22	21	17	13	5	1	26	59	37	17	17	10	13	1	40	44	14	20	22	13	4	7	6	0	16	3	0	17	63	6	91	4	0	7	9	6	16	7	0	15	5	29	6	13	36	25	10	28	1	64	13	45	12	1	7	8	53	3	7	7	7	18	37	18
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Syntrophococcus	48	46	19	12	1	13	40	15	80	3	59	60	5	4	58	126	32	108	26	2	12	103	23	80	17	69	233	5	0	29	115	44	8	265	120	3	11	21	4	97	57	29	4	0	67	121	14	48	21	34	41	65	95	6	9	3	18	16	1	19	23	19	0	26	29	2	13	19	0	4	3	29	32	11	12	29	0	42	28	10	99	31	39	0	4	36	20	25	80	89	8	19	47	109	0	17	8	17	8	20	132	0	1	41	17	39	82	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__Clostridium_XI	0	0	0	0	0	2	1	1	0	2	0	1	0	7	1	0	0	1	0	1	0	0	0	5	0	0	3	7	0	0	0	14	0	0	2	0	0	0	7	0	1	0	0	0	2	0	0	0	2	0	0	0	0	3	11	0	0	0	0	0	0	2	0	0	0	0	1	4	2	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	1	2	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	3	0	4
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__	307	358	463	227	77	125	604	752	186	57	346	547	127	206	64	386	401	431	15	301	158	379	214	426	456	518	418	478	361	331	343	153	444	490	401	5	133	255	520	946	591	223	323	680	706	382	383	142	223	584	619	129	180	640	230	402	170	446	212	592	291	407	95	289	312	540	347	108	70	205	475	515	465	851	112	296	10	204	393	262	158	589	74	255	840	329	164	326	231	1160	578	316	205	181	91	494	806	595	373	522	649	596	242	757	250	53	512	240
