"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"bac16SV4_L100_Nextseq_00041"	"day"	"day"	-0.733152767600351	1.05687891684573e-09	2.72631622631224e-08	"abundance"
"bac16SV4_L100_Nextseq_03596"	"day"	"day"	-0.262530561109593	1.27883344342015e-09	3.23289094496615e-08	"abundance"
"bac16SV4_L100_Nextseq_02043"	"day"	"day"	-0.420688730952013	1.43124163543515e-09	3.54723417096083e-08	"abundance"
"bac16SV4_L100_Nextseq_03779"	"day"	"day"	-0.271453801378794	1.63165132366389e-09	3.96616783290606e-08	"abundance"
"bac16SV4_L100_Nextseq_00103"	"day"	"day"	0.404314632895589	1.85193212543735e-09	4.41668340859022e-08	"abundance"
"bac16SV4_L100_Nextseq_01602"	"day"	"day"	-0.365781721075554	1.91708126633536e-09	4.48739022342202e-08	"abundance"
"bac16SV4_L100_Nextseq_03069"	"day"	"day"	-0.275061391405793	2.5989361368801e-09	5.97282777639354e-08	"abundance"
"bac16SV4_L100_Nextseq_03084"	"day"	"day"	-0.278534572190613	3.05977065300922e-09	6.90633947393509e-08	"abundance"
"bac16SV4_L100_Nextseq_00032"	"day"	"day"	0.609691615713035	1.15539061729031e-08	2.56212936886835e-07	"abundance"
"bac16SV4_L100_Nextseq_04172"	"day"	"day"	-0.231379192544634	1.3808482633854e-08	3.00929690503302e-07	"abundance"
"bac16SV4_L100_Nextseq_03778"	"day"	"day"	-0.247821556168714	1.42466476978389e-08	3.0521631678082e-07	"abundance"
"bac16SV4_L100_Nextseq_02757"	"day"	"day"	-0.281380319561351	2.57569319848929e-08	5.42612700481745e-07	"abundance"
"bac16SV4_L100_Nextseq_03888"	"day"	"day"	-0.225651339862593	2.83819767893199e-08	5.8811178133935e-07	"abundance"
"bac16SV4_L100_Nextseq_03356"	"day"	"day"	-0.251526103950521	3.21254289915792e-08	6.54944229763808e-07	"abundance"
"bac16SV4_L100_Nextseq_00278"	"day"	"day"	0.276650691347567	3.61253871196057e-08	7.24801417764786e-07	"abundance"
