"feature"	"metadata"	"effect_size"	"pval"	"qval"	"error"	"associations"
"bac16SV4_L100_Nextseq_00022"	"read_depth"	-0.308788450980319	0.559873456621515	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00023"	"day"	-0.657357666751536	0.111916783245972	0.827658785361056	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00023"	"read_depth"	0.115492904861434	0.865023698597022	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00024"	"day"	-0.611431519609365	0.596056494735677	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00024"	"read_depth"	-0.210592500284627	0.914605539687676	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00025"	"day"	-0.177922448111626	0.719296970975617	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00025"	"read_depth"	0.577304746621095	0.475151280800304	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00026"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00026"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00028"	"day"	-0.821483650776618	0.0000459524571665355	0.00176011835934851	NA	"abundance"
"bac16SV4_L100_Nextseq_00028"	"read_depth"	-0.020806152875018	0.911996451616544	1	NA	"abundance"
"bac16SV4_L100_Nextseq_00030"	"day"	2.01978386019116	0.119262087922834	0.842434836793207	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00030"	"read_depth"	0.515102930947813	0.722693491892877	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00031"	"day"	0.365947879799948	0.335374040261968	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00031"	"read_depth"	-0.227715356268303	0.586911428806512	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00032"	"day"	0.180243921436233	0.456985028749072	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00032"	"read_depth"	-0.0226627948250117	0.925868444626381	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00033"	"day"	-0.135638928491438	0.356086163046579	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00033"	"read_depth"	-0.0234974913321137	0.887293089278044	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00034"	"day"	-0.217139702401591	0.55752279643197	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00034"	"read_depth"	-0.0561626358952297	0.887489519104358	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00035"	"day"	1.1498963675011	0.00148834196858106	0.0348382268201197	NA	"abundance"
"bac16SV4_L100_Nextseq_00035"	"read_depth"	1.13245087278746	0.0165879664489671	0.226671688758683	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00036"	"day"	-0.303221004290906	0.589250073649134	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00036"	"read_depth"	-0.337236203435998	0.55877092577675	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00037"	"day"	0.626172874927237	0.0916212865404214	0.752008481734368	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00037"	"read_depth"	0.135920813438148	0.875372031552021	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00038"	"day"	-0.174105374284883	0.831759088632083	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00038"	"read_depth"	1.10771918360862	0.349528295881001	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00039"	"day"	0.915305918568392	0.0651319400048102	0.606067210090377	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00039"	"read_depth"	-0.520374140497708	0.33438339875573	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00040"	"day"	0.941524973164716	0.00366556444364243	0.0691533351755825	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00040"	"read_depth"	-0.141618222816621	0.681301521217597	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00041"	"day"	-0.384565371126442	0.00850354659716115	0.136056745554578	NA	"abundance"
"bac16SV4_L100_Nextseq_00041"	"read_depth"	-0.0324204564614137	0.836659105546253	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00042"	"day"	-1.23701748875999	0.00000356393448717239	0.000214514913894567	NA	"abundance"
"bac16SV4_L100_Nextseq_00042"	"read_depth"	0.0236040067050367	0.926569003889577	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00043"	"day"	0.466912018347561	0.1922995743898	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00043"	"read_depth"	0.379103902964801	0.567035941303615	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00045"	"day"	0.530480877547856	0.219023154580084	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00045"	"read_depth"	1.37154566958159	0.0403163694404439	0.431863482819671	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00046"	"day"	-0.554525181531996	0.616362678481763	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00046"	"read_depth"	1.058319302437	0.461893855782627	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00047"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00047"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00048"	"day"	0.487626360873859	0.213398313865764	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00048"	"read_depth"	0.203503926324537	0.691825208505414	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00049"	"day"	0.380088494791541	0.724753430740109	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00049"	"read_depth"	2.24457241466635	0.104415510907245	0.795811209325127	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00050"	"day"	0.190378900360146	0.552612725845866	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00050"	"read_depth"	0.0415817672639721	0.895932921542754	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00055"	"day"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00055"	"read_depth"	NA	1	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00056"	"day"	1.31133957204396	0.0239274523449223	0.284685262926932	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00056"	"read_depth"	1.16091156731449	0.16684258004029	0.990089301271956	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00059"	"day"	-0.369117156112128	0.548346193637855	1	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00059"	"read_depth"	1.30858924142537	0.0467432774356705	0.480353680314533	"sensitivity failed"	"abundance"
"bac16SV4_L100_Nextseq_00060"	"day"	0.411414941932009	0.217035469475259	1	"sensitivity failed"	"abundance"
