"feature"	"metadata"	"effect_size"	"pval"	"qval"	"associations"
"bac16SV4_L100_Nextseq_00028"	"read_depth"	0.485179730902323	0.0510791832463098	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00030"	"day"	-0.00108322422430153	0.761603140756392	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00030"	"read_depth"	-0.00150005470482196	0.745162132014268	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00031"	"day"	0.439455250375505	0.0350414193322728	0.632747914799898	"abundance"
"bac16SV4_L100_Nextseq_00031"	"read_depth"	-0.216936512065659	0.345267840933855	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00032"	"day"	0.910339558173639	1.10011481505403e-05	0.000463515042076096	"abundance"
"bac16SV4_L100_Nextseq_00032"	"read_depth"	0.173148960117312	0.460717797480387	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00033"	"day"	0.750302489626915	0.000360363833914724	0.0113874971517053	"abundance"
"bac16SV4_L100_Nextseq_00033"	"read_depth"	0.176961568723986	0.442947317264428	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00034"	"day"	0.35714983680144	0.081410266727688	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00034"	"read_depth"	-0.207522024276147	0.361347514402387	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00035"	"day"	0.317189314071108	0.107078176705004	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00035"	"read_depth"	-0.108711002317886	0.558779620659716	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00036"	"day"	0.455095024676037	0.0300078532130194	0.566118305391889	"abundance"
"bac16SV4_L100_Nextseq_00036"	"read_depth"	0.0405059160475464	0.706123042923902	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00037"	"day"	0.0589323184939917	0.616837616718662	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00037"	"read_depth"	0.0124386643465437	0.722113512633897	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00038"	"day"	0.0953842256690068	0.530015580201211	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00038"	"read_depth"	0.0949651150784572	0.579975631178288	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00039"	"day"	0.104051431730364	0.521162113998586	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00039"	"read_depth"	0.138367742020615	0.478053708923533	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00040"	"day"	0.756080403937295	0.000716822620272747	0.0210712509773198	"abundance"
"bac16SV4_L100_Nextseq_00040"	"read_depth"	-0.121230250902084	0.540382067703758	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00041"	"day"	-0.81968358747881	4.3519819776924e-05	0.0017190328811885	"abundance"
"bac16SV4_L100_Nextseq_00041"	"read_depth"	0.208804739370136	0.34863211635282	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00042"	"day"	-0.729558885248384	0.000556374197908003	0.0171526094184321	"abundance"
"bac16SV4_L100_Nextseq_00042"	"read_depth"	0.0104633326618017	0.783232803544128	0.784474059968128	"abundance"
"bac16SV4_L100_Nextseq_00043"	"day"	-0.0128301591716434	0.745444757336868	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00043"	"read_depth"	0.031668285576359	0.686198599713395	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00045"	"day"	0.0107057947177705	0.728408765820407	0.774393071930312	"abundance"
"bac16SV4_L100_Nextseq_00045"	"read_depth"	0.079845011827937	0.599332991173592	0.774393071930312	"abundance"
