"MSM5LLDS"	"ESM5MEBE"	"MSM6J2IQ"	"HSM5MD62"	"HSM5MD5D"	"ESM5MEDN"	"CSM5MCVN"	"MSM5LLF4"	"HSM5MD4O"	"ESM5MEBU"	"HSM5MD43"	"MSM6J2HF"	"HSM5MD7J"	"MSM6J2IG"	"MSM5LLDA"	"MSM6J2J5"	"CSM5MCXL"	"CSM5MCWE"	"HSM5MD5P"	"MSM6J2KE"	"CSM5MCY8"	"CSM5MCX3"	"HSM6XRQB"	"MSM6J2K6"	"HSM5MD6A"	"HSM5MD3Y"	"HSM5MD7O"	"HSM5MD6K"	"CSM67UA2"	"MSM6J2HT"	"HSM5MD73"	"ESM5MEDD"	"CSM5MCZF"	"HSM6XRSN"	"MSM6J2JR"	"HSM5MD41"	"MSM6J2J1"	"MSM6J2OH"	"CSM5MCZ3"	"CSM67UAA"	"CSM67UBH"	"ESM5MEBG"	"MSM6J2LL"	"MSM6J2Q3"	"ESM5MEC5"	"HSM5MD79"	"HSM67VCZ"	"MSM6J2R2"	"ESM718V8"	"MSM6J2LT"	"HSM6XRSG"	"CSM67UBZ"	"MSM6J2Q1"	"PSM6XBRK"	"HSM6XRQW"	"ESM718UH"	"HSM6XRQM"	"CSM67UCK"	"HSM6XRRJ"	"HSM6XRRV"	"CSM67UH7"	"HSM6XRS8"	"CSM67UAQ"	"CSM67UB1"	"CSM67UDN"	"CSM67UFZ"	"HSM67VEE"	"CSM67UBB"	"CSM67UEA"	"CSM67UEW"	"MSM6J2QP"	"HSM6XRTM"	"HSM6XRRD"	"HSM67VES"	"CSM67UBN"	"HSM67VGA"	"MSM6J2RO"	"PSM6XBQY"	"CSM79HGP"	"MSM6J2LB"	"CSM79HHO"	"HSM67VI5"	"HSM67VD6"	"ESM5MECL"	"MSM6J2R8"	"PSM6XBSI"	"CSM67UGO"	"PSM6XBSE"	"MSM6J2MB"	"MSM6J2SE"	"HSM67VF3"	"MSM6J2PO"	"HSM67VFZ"	"CSM79HJM"	"ESM718TM"	"HSM6XRTQ"	"CSM67UF5"	"MSM6J2M3"	"MSM6J2PM"	"HSM6XRV2"	"HSM6XRQ8"	"HSM67VFR"	"CSM79HLA"	"CSM79HH8"	"PSM6XBT3"	"MSM6J2OP"	"CSM79HIT"	"ESM7F5AK"	"HSM7CYZT"	"HSM6XRVC"	"CSM67UEI"	"HSM67VHF"	"ESM718SY"	"CSM79HLM"	"HSM6XRVO"	"HSM7CYZ7"	"CSM79HIJ"	"CSM79HMN"	"CSM79HI7"	"CSM79HKB"	"HSM7CYZJ"	"MSM6J2MH"	"CSM79HGZ"	"HSM67VGG"	"PSM6XBSS"	"PSM6XBVM"	"PSM6XBSK"	"CSM79HKZ"	"MSM6J2PU"	"MSM79H63"	"HSM7CYX2"	"ESM718TF"	"CSM79HJS"	"CSM79HOJ"	"MSM79H5G"	"MSM79H5Q"	"CSM79HPA"	"HSM7CYYF"	"MSM79H6F"	"CSM79HIB"	"HSM6XRVK"	"CSM79HN6"	"HSM7CYY3"	"PSM6XBUG"	"PSM7J19B"	"HSM7CZ32"	"HSM7CYXA"	"HSM7CZ14"	"PSM7J1A2"	"HSM7J4PE"	"CSM79HPS"	"HSM7J4QB"	"HSM6XRVW"	"CSM79HP4"	"HSM7J4HC"	"HSM7CZ3G"	"MSM79HDA"	"CSM7KOLK"	"CSM79HRG"	"MSM79HC8"	"PSM7J177"	"HSM7CZ38"	"PSM7J1AU"	"CSM7KOKN"	"CSM7KONA"	"HSM7J4I3"	"PSM7J1CC"	"MSM79HAJ"	"HSM7J4G1"	"CSM7KOKB"	"MSM79HEY"	"PSM7J19J"	"CSM79HR6"	"CSM7KOLA"	"HSM7J4HO"	"CSM7KOLY"	"HSM7J4R2"	"HSM7J4PW"	"CSM7KOMB"	"MSM79H9Q"	"CSM7KOJO"	"MSM79HDQ"	"HSM7J4LD"	"CSM7KOOH"	"PSM7J1BF"	"CSM7KON2"	"MSM79HDE"	"PSM6XBUO"	"HSM7J4GR"	"MSM79HA3"	"HSM7J4MS"	"HSM67VH1"	"CSM7KOKZ"	"MSM79HCR"	"HSM7CYYB"	"HSM7J4QJ"	"CSM7KOPS"	"CSM7KOMT"	"PSM7J17X"	"HSM7J4M4"	"PSM7J17L"	"HSM7J4LP"	"HSM7J4HS"	"CSM7KOLE"	"CSM7KOP8"	"MSM79H9G"	"CSM7KOOV"	"ESM9IEP1"	"MSM79HAN"	"HSM7J4J7"	"CSM7KOPI"	"MSM79HAH"	"MSM79H6Y"	"HSM7J4I7"	"HSM7J4MK"	"PSM7J17F"	"HSM7J4IU"	"MSM79H7Q"	"PSM7J193"	"CSM7KOO9"	"PSM7J12J"	"HSM7J4JZ"	"CSM7KON8"	"HSM7J4IC"	"CSM7KOSV"	"MSM79H8D"	"HSM7J4QT"	"HSM7J4MY"	"HSM7J4L9"	"MSM9VZEK"	"CSM7KONK"	"MSM79H85"	"MSM9VZF7"	"PSM7J12V"	"HSM7J4KC"	"PSM7J1CU"	"MSM9VZEW"	"HSM7J4NE"	"HSM7J4KQ"	"PSM7J136"	"CSM7KOPE"	"MSM79HB6"	"HSM7J4LN"	"CSM7KORU"	"CSM7KOQ1"	"CSM7KOOR"	"MSM9VZMM"	"HSM7J4IS"	"MSM9VZGO"	"MSM79H7Y"	"HSM7J4O1"	"HSM7J4N4"	"HSM7J4JF"	"HSM7J4ME"	"MSM79H7M"	"HSM7J4OZ"	"CSM7KOSP"	"PSM7J158"	"HSM7J4O3"	"CSM7KOU9"	"PSM7J14X"	"CSM7KORK"	"MSM9VZFR"	"HSM7J4OE"	"PSM7J15M"	"PSM7J14L"	"HSM7J4K8"	"CSM7KOUL"	"PSM7J12R"	"CSMA9J65"	"MSM9VZLP"	"MSM9VZES"	"PSM7J12F"	"MSM79H7G"	"HSM7J4KK"	"PSM7J13E"	"PSM7J141"	"PSM7J16Y"	"HSM7J4NU"	"HSMA33NW"	"HSM7J4NA"	"HSMA33MZ"	"MSM9VZNL"	"MSM9VZME"	"MSM9VZOI"	"HSMA33O1"	"MSM9VZMU"	"MSM9VZLJ"	"PSM7J161"	"CSM9X1Y5"	"HSM7J4OT"	"MSM9VZNX"	"CSM7KOTU"	"CSM7KOTK"	"CSM7KOOF"	"MSM9VZPL"	"CSMAG78W"	"HSMA33OR"	"HSMA33NQ"	"MSM9VZLV"	"MSM9VZOU"	"HSMA33NY"	"PSM7J156"	"MSM9VZJZ"	"PSM7J14T"	"PSM7J15U"	"PSMA264Q"	"CSMAIG7X"	"MSM9VZOO"	"CSM9X1YV"	"PSMA265X"	"MSM9VZL9"	"MSM9VZKE"	"PSMA265N"	"HSMA33JB"	"CSM9X213"	"HSMA33JP"	"MSM9VZHB"	"PSMA266I"	"HSMA33J5"	"MSM9VZIM"	"MSMA267V"	"HSMA33OZ"	"MSM9VZP3"	"PSMA263W"	"MSM9VZHX"	"HSMA33OJ"	"MSM9VZJ3"	"MSM9VZIQ"	"MSMA26AL"	"PSMA265T"	"MSM9VZHF"	"HSMA33J9"	"PSMA265H"	"CSM9X211"	"PSMA267J"	"MSMA26DG"	"MSMA26EJ"	"PSMA266C"	"MSMA26AZ"	"MSM9VZHR"	"MSMA26BB"	"CSM9X21J"	"PSMA266Q"	"HSMA33KM"	"CSM9X22G"	"CSM9X1ZC"	"MSMA26DO"	"HSMA33L1"	"MSMA26ET"	"PSMA2675"	"HSMA33MI"	"MSMA26BR"	"MSMA26CX"	"MSM9VZI6"	"PSMA267P"	"HSMA33PZ"	"MSM5LLDI"	"PSMA269W"	"MSMAPC7J"	"CSM9X22U"	"HSMA33QO"	"MSMAPC7T"	"MSMAPC6K"	"MSMAPC6G"	"CSM9X237"	"HSMA33R7"	"HSMA33Q6"	"PSMA26A3"	"HSMA33M8"	"HSMA33R9"	"CSM9X23B"	"MSMB4LXY"	"PSMB4MBK"	"MSMB4LXW"	"MSMAPC5D"	"HSMA33SG"	"MSMB4LZ4"	"MSMB4LZX"	"MSMB4LZC"	"MSMB4LZR"	"MSMB4LZ8"	"HSMA33SK"	"MSMB4LYH"	"PSMB4MC5"	"HSMA33RX"	"MSMB4LYB"	"MSMB4LZK"
"12,13-diHOME"	710451	5747889	681733	3185959	715293	6367646	198397	764019	690924	900414	571690	5973369	3663556	995877	622482	868016	1081692	10194055	1814535	767055	317418	18601749	1350963	1461455	1746601	7046209	5515579	1151633	937676	1559342	1601786	559009	1306549	1640267	3719884	1130700	1582425	1725721	800805	1765047	1128884	2452263	1028963	832392	961048	818541	3363087	1941520	2107390	696823	1559460	525094	2599591	2384194	4176206	1150342	881071	2577427	1360417	2957440	886144	5481384	591007	384455	2223723	219646	1414923	3780255	1255266	302232	2809754	1177387	1630347	1475650	911053	370273	1623560	645358	1286163	812463	1164354	208349	5550083	1590527	1764277	888690	376192	4071076	661697	1794694	5936079	1897492	400324	625413	1447185	464344	475186	3592547	710768	418738	218540	4237454	1182153	5895055	22281418	1204989	553928	1299777	1707631	1475285	520603	2119300	1263767	328687	3847977	15161487	554080	305770	2470404	1120084	452299	454428	1420004	200473	425689	1528428	3679835	936368	1281972	1033049	7670476	3285259	2182444	922097	960301	1839934	6208662	2564498	483665	6067254	1305885	2759572	543762	3287182	1237329	1413537	213474	2786334	1145304	397479	2257048	4143572	6238105	3048149	1200417	1979348	1984228	3995903	1190180	2756616	1107545	1182143	8248102	1848174	2568409	1372885	739570	283958	3133645	1393602	7425758	870438	1119042	3488887	1378597	1607651	934004	1673930	4051467	2858960	1940189	623677	2085091	1136936	3939859	882464	967771	2563712	862989	1028421	1358139	5210931	882970	1434826	782088	8021318	2185410	421613	1585046	158725	858771	1131089	620844	1694309	1326938	1284868	1668333	434656	222201	2049029	675061	844559	3576839	132231	1174532	1660431	986541	1160842	663188	571283	1184181	2049501	644074	948615	1601397	567393	1840277	982104	1339162	821649	12382971	4752804	539042	282376	2535632	1742725	787000	1111372	2240765	1479429	324557	1691047	4477510	740116	1415064	2502661	2481188	4666155	734212	652837	546916	619073	1143504	325407	2166526	2947212	3761497	1167851	260610	822083	2001660	1416999	654444	1029069	947010	3741386	2145578	1855784	1936688	370951	322171	987052	2867132	1539754	854860	1409625	2253435	601530	1755010	1989470	545339	4104767	781009	2987884	1179753	2053404	1850679	1220628	2147996	1588098	5271056	533169	2508719	4637331	812762	1829523	2451997	3210460	512388	426569	772538	3361853	1546357	1955446	3724715	1870093	1558135	778797	799593	1870195	1563896	2120872	882769	1610137	524254	1382085	1543459	5602912	1396087	2894769	745996	1044087	4112325	5329204	626687	2093017	1959222	1894557	338993	594709	1001798	902025	754768	1268630	437487	2422363	3284656	2176955	1231507	2596660	281833	1478653	1544572	1271586	1212021	649833	604972	2547418	663104	1213471	2639797	2618242	849681	572813	1737803	1568505	1830972	404476	2025446	2610610	545772	1383552	1341436	1002226	636223	2942046	1368625	913825	380042	672233	1018676	899818	1120227	494213	788997	792593	475925	3222235	1245511	2286333	384886	920518	295487	1009373	2421531	1685079	1655387	1982374
"9,10-diHOME"	539543	4591365	473643	5334677	1140985	6671471	783799	766793	1672330	573125	631107	2468302	2405384	779915	653978	1558933	683263	9299829	2220356	1116784	550841	1807114	1226020	1149231	1760446	5943250	5997722	1088888	1002635	939869	1340892	1008479	1298424	1134862	4030579	1263701	944898	1523105	539199	2712570	2508124	1743924	757463	852294	813173	846488	2177484	2228495	2792352	766463	6060881	416010	2278663	1436963	2329285	1308790	1182877	2505808	941518	1236739	627537	4633143	784620	187603	1875592	181524	1139674	2199148	1267112	107064	1160579	943798	1665633	1947516	967399	657556	1509293	972255	1453551	884041	620321	123744	4087305	961978	963149	1172534	545385	2909581	636008	2357095	2569425	1366931	624701	379793	1291027	430406	711870	2087534	1265821	323014	210201	4709146	677766	4299565	12119187	993864	427759	1713655	1900248	1294132	791456	1272150	891651	269256	1285741	10192437	1103228	699626	3400613	495312	645772	527998	1299262	507205	697744	2291242	2442049	783676	2182089	1468882	5386706	1889478	1133271	780833	659008	2715194	8658385	1957614	248491	6659375	858287	1153608	1675913	1466158	880655	1236951	176667	2997768	1834950	297558	4101354	3028357	5765709	2901143	1084376	1208660	1910898	1915274	1680206	2321418	991288	1141786	2141912	786595	4172792	1085316	827364	233296	4535441	1165282	2707840	689738	1474446	2609819	1325861	1506039	1294092	1279259	3274044	1721047	3534440	762191	2068078	1036359	2366313	1202997	960539	1472036	650140	690902	2419050	3071966	777370	790721	659111	4317020	2640316	1307351	1917424	91717	488160	866934	474778	1120560	671083	370922	1812083	450123	205367	1444691	707703	1096500	3354743	74596	1381056	2456755	1706819	1245902	2658465	708939	1010122	1064836	741640	707261	834102	771078	936638	635178	1349955	1553465	4743920	3433793	244525	261052	1276712	1235232	527192	789777	2957101	1253739	238434	1671743	4937229	522420	1153740	1693482	1503852	2721526	1253036	928133	478498	520433	1162819	428448	1573242	1613291	2463674	1122474	174236	637467	1636484	1046222	1040830	1124159	955407	5370585	1441632	1920014	1669774	622995	216503	1724814	1569899	898947	960977	1306786	1927648	406581	2009063	2557588	584092	3361074	1346335	2439522	1753223	1653785	1620144	1201239	4623891	1553355	24953108	838685	2983572	6617860	1172236	2127866	1166646	2282417	336276	355988	1121774	2479784	3970262	2150781	1482028	1934360	1101826	1285885	436021	2724136	964505	2006965	875039	1609050	748346	1273122	2746398	5007174	1244904	2314905	687084	716253	3398305	1052085	676152	1025502	1535913	1625443	224883	808165	863520	1169293	1225627	2135140	529933	2254477	1941653	575879	6967866	2026835	279677	1736797	1422482	2141391	1622354	782773	1169063	1409706	635724	1385020	1461281	2542613	1358995	347260	1199413	1430159	1541071	496789	1141937	2070382	448933	1943941	1191412	926096	559123	1930908	900593	727902	320397	1072249	1130429	1906804	1076078	634210	758824	572887	1180628	1890114	1332887	1957142	313876	1145722	270803	974763	1000980	1536293	1649427	1170889
"Caproate"	6478	1747	2479	19	51849	2147	15	333	308	61	376	310	12989	74	383	4904	1502	0	1848	26282	43970	1099	0	54667	1130	78	0	9717	1295	67761	349	614	493	797	4583	18	427	376	1797	481	459	455	0	533	21	110113	1564	9009	206	4273	0	1412	39467	897	42365	2887	88	169676	1330	1036	2656	0	1963	37141	853	138	318	7558	24353	4054	50323	226	848	2985	39	6733	51663	0	2920	3711	200519	3131	2398	451	46214	2265	6879	41	31	1765	4971	9217	63725	1398	2141	0	3122	104531	17093	2600	145	42183	436	24128	279	1373	155816	3664	0	20060	3009	1210	1608	128	0	85	570	4597	33	57374	3013	152	1081	6788	99	1021	3637	422	151137	2566	1905	230	4755	78	6248	41194	42676	62099	118554	1191	1172	134430	73	563	22702	0	111610	1242	9082	1799	1225	47	153	1618	2614	3839	738	341417	16346	148587	0	27	3090	14971	27124	36	432	15908	40042	1281	211	8688	409	18096	0	2436	5492	937	0	76720	9103	122	34845	724	0	243	213	453	2209	27603	56	16	38401	40535	0	7693	347	596761	3014	1214	30090	76	0	82438	206333	896	884	291	1038	0	30107	67574	33568	0	3647	0	4706	31379	2033	40497	113	45	20087	1183	263948	95211	5378	1887	0	235	23729	133642	1935	22	13287	56	20	3248	183	0	56488	1865	3719	80	3458	2804	2145	506	140817	23397	19780	2214	258	1107	1306	1478	24	2407	4512	93642	80231	2227	830	3798	3378	0	270	55	466	1412	920	87	647	93	7300	185	0	24147	690	2177	3160	34294	17259	1352	24521	1374	89696	39449	0	1913	0	0	429	7589	2732	2014	1977	66	1570	65696	1024	2625	43936	85241	630	0	835	2067	2205	1160	1003	70401	1437	268	2934	129	1805	23309	30840	2783	168	14740	630	335	382	2335	682	7056	40	4215	957	83152	2051	0	166	705	319	5284	0	120	41427	118326	535	66048	637	46905	1477	71	1057	2367	1257	70	1116	2992	30	2166	222	1627	1810	239513	149	978	741	143541	4267	1261	659	2038	1008	78	2090	26	3928	193	123	15	1738	219	33720	2316	186	1476	42577	20963	272	14318	5727	319
"Hydrocinnamate"	13993228	206378	75324	3970086	17927	161277	14948	24704	31890	10671	45629	847969	33879	8353	614002	322362	194532	5164	26991	1360785	1103258	684245	7985130	1191935	305753	31650	1171	1793609	17147	1918792	1108805	75491	1246058	29458	612658	164595	124404	82559	8248	16679	14114	21118	59481	17078	33306	1910381	275611	1770408	764092	128079	663	15598	2906280	264597	5361	464946	24918	1592537	2165679	1215975	711371	4935	512316	6092219	709660	28628	77951	9246	1342723	7404	957367	78998	244363	880758	20296	63603	2204410	852872	23123	7729584	1145045	63401	553535	32699	1464093	52977	123634	26166	38106	649834	18043	938219	287728	36552	1488141	61729	17317	2190568	142836	517597	91157	12891	243019	7754	111820	47718	7934231	230483	1800403	552360	34692	324593	67522	18501	121013	49367	319036	23742	33283	1566191	270869	61515	1506170	82653	283892	40950	107874	129851	1260780	17393	154427	658426	150772	303226	1209667	894174	16519	15196	2173238	195734	347541	720030	9563	233240	156123	6820	186001	5116	5403	1381978	29696	46107	107988	2041581	193701	60589	1569	1671454	2152958	788989	3359	33035	43594	97247	17935	5949	2885365	418360	457836	1067477	625812	154173	16509	398680	44709	645657	897726	505148	4114	1382723	141544	735	7184	342145	58346	442102	551	59059	564380	1296598	15569	15201	16444	1502590	6897	78102	437668	692499	996	175447	140334	2848	28340	7833798	2026152	47698	10783	1339520	438115	319345	363688	837371	764352	59502	106676	1395	316402	624231	19170	473507	64789	156947	142386	9854	1933499	619964	223716	1119489	52810	1137	19765	1646541	117715	21078	50601	2576	67912	234447	10711	373067	2610174	423224	55266	88565	1182027	2812048	1026008	346303	3486086	220696	65446	413217	17597	91073	42741	8771	42562	82543	122322	292750	876710	24336	1360934	56934	6006	130257	142435	828566	11817	42950	1121243	1723	49903	7576	33040	322894	13665	273927	110814	227341	1733756	128156	543886	533424	1099616	126233	1587787	610236	100446	324720	123296	2094	41894	11673	352714	75976	1903587	142914	756245	1197119	63209	855986	365697	437784	34108	18945	29513	29651	1675928	45092	41530	2120643	795303	17435	36231	29536	43285	699149	61584	1699318	10324	666648	287050	93558	495006	410409	901527	58348	24995	2549	11844	914625	108878	12583	22644	31260	942983	9521	69557	14251	232694	1485130	85041	101785	13691	305013	159141	175912	42520	3319039	82510	237913	766038	52041	137036	29542	40851	1811583	61333	672612	85714	465515	555089	904672	50243	64555	128681	14206	108669	244043	86158	42519	67045	24374	1127022	27000	93070	21965	922219	382013	21418	1722039	113509	583775	28097	15229	73931	6530
"3-hydroxydecanoate"	888672	863212	512647	383519	46454	219377	575098	99524	388341	133114	165484	829910	749275	147829	582543	212089	548209	269829	609251	240255	751358	2178557	1189174	330622	243011	406112	506342	357496	440004	661745	532340	134824	302147	487458	529335	318497	548271	580650	740080	681899	3244912	411276	47936	153093	365882	641594	366999	505189	149928	268946	845546	519615	1071046	173434	736597	281259	568838	554623	516445	370736	339877	766799	0	558137	585232	515802	1416020	510208	3586870	696687	278630	861823	428106	252716	418720	1068731	303353	198875	569437	2330010	287560	0	377316	862208	424164	218785	229035	563951	196411	470525	1548997	633861	593247	198328	261027	407021	1452385	1485264	480360	577807	311021	894935	131171	1407508	1027947	806037	794225	85981	435373	909022	1325964	210622	349767	262705	286227	634997	0	866977	269529	175023	194946	169574	135646	694749	312535	1006151	765575	1058726	453760	506515	1517979	308499	733942	323493	169667	496911	1840393	506987	531694	164169	805775	351493	651770	901132	593408	709358	265455	588867	372353	326064	534495	783613	4033266	239739	500086	858080	1309319	725053	423918	644423	5340402	173724	2266272	1362582	2276430	584479	531549	803457	566846	1406175	965204	442513	201723	833749	0	386590	433176	207450	485268	488201	1994723	155264	208881	161748	1332815	273992	1112508	464824	533322	291274	414740	348184	439992	526326	0	1527663	519190	588828	232404	331320	356938	418195	0	667990	693957	248337	250475	88531	222234	340631	0	324739	527043	0	359357	619459	608204	318385	1652774	853916	1294241	999523	399569	375861	516385	391915	142507	985307	227436	144751	2383248	1074251	0	412287	303008	428453	537406	943293	494989	396569	326501	104618	0	549578	1106551	277767	620263	1020022	401738	447495	124659	378211	252519	267778	687129	655456	1401429	0	0	193739	783167	429554	326638	108895	365133	342699	195792	522805	446106	409607	46508	215870	1543677	798036	140220	559866	146781	142747	214239	472922	162611	1198353	318454	284085	217806	734841	684337	685432	431993	333809	611946	133658	556129	480154	441305	152091	254954	180228	648528	104352	922011	641390	316947	497084	498178	385553	709936	410594	345978	468335	228122	673180	201539	386351	117311	458056	152675	985138	441475	304920	110373	782742	871227	660862	463730	881777	305865	593544	337999	98012	655418	160510	205059	88063	529057	432709	702690	1985565	495874	946122	175948	557787	361413	366987	258279	212389	278512	436315	673400	555992	281033	595079	135850	198946	641576	453281	319222	0	470788	275515	721171	174183	296915	1345521	84712	514532	3321349	424832	397747	37389	245701	582553	160216	419596	128796	307775	172715	900261	667897	426786	438651	232809	406246	255387	581536	488264	455204	231093
"Undecanedionate"	160593	208732	152188	274178	36279	91384	159155	82434	104444	132223	122552	159971	67877	110631	111677	395673	450904	149634	193698	247497	122868	94884	79227	311897	112151	49309	89008	129848	133124	484329	104750	36714	117366	233227	77216	37808	152225	140860	150890	158165	173861	135954	52455	77291	219877	82289	107626	62383	253671	84650	45796	104619	399306	182809	102399	143992	160538	377480	96755	79299	488429	83229	411487	575023	298062	357479	97394	107812	153200	101802	279983	105089	136987	172249	157834	21754	398626	62416	104744	86109	691205	61272	140365	110124	128211	551505	96328	95492	99713	114594	88649	661801	85692	404344	176241	39878	67045	170296	966256	94783	91938	164501	218625	409076	454787	178950	501368	63458	118360	146879	91250	189914	208611	99999	44213	101892	202043	231868	139847	554182	123862	152591	360220	30469	146064	180140	205973	78513	427031	179940	75817	79998	304836	109794	1067451	616031	308871	104087	454488	98497	154723	596359	75166	96971	189285	138257	317893	64584	99664	69052	233257	59115	30344	331341	465848	223875	109154	470797	167223	377184	91047	84239	130340	135434	236696	169103	320152	364947	161076	448525	57431	111632	267159	42025	67183	233978	251430	137897	117288	475671	136776	31801	91772	385809	47991	186774	187253	154141	117971	420265	140816	190166	311923	245789	51945	49521	182731	205087	77129	29578	117319	65587	24226	258530	808581	74164	210571	105993	95752	84829	250159	258268	455021	26917	137574	62605	123266	394737	189275	559009	135249	60706	280592	197249	371482	444848	56029	92572	231485	218986	241978	156869	273864	35311	83328	65354	65052	147862	114017	203767	300046	66461	166984	261515	97468	527947	237738	172244	311497	489631	42218	209686	80223	29199	260024	110282	85578	121200	39805	432487	355266	116675	73537	54731	127658	44256	84916	1174246	118243	131682	40146	55568	197045	294072	47177	312441	103030	561443	78238	164401	88999	86681	355622	159037	264746	109665	363924	248079	62772	355352	32426	93312	120618	446818	267097	67370	350345	63750	242811	73349	87592	95632	153577	409188	221340	95412	288822	611186	367809	195341	144349	268754	191770	315217	72757	136046	122869	347042	311349	252496	43603	219123	92509	52859	181221	140375	91220	65936	62299	425889	351669	447219	165333	136981	148113	197797	154035	45879	33862	137415	255097	362176	199661	372188	53575	341282	40695	75039	122936	237074	276899	130845	149797	114250	109058	136955	58876	193634	282886	357260	116883	215375	401720	377566	167573	99945	130219	190707	109479	29048	149959	250837	134983	173166	219862	95171	74838	119979	246895	190606	115256	96791	207061	133648	59585	213945	110921	64619
"Myristoleate"	106578	92901	165961	58242	80364	378243	113660	20536	23448	46441	17245	37806	62533	73096	23047	0	127874	96955	272242	152039	87029	60847	46078	128942	27113	52761	67288	49137	98287	229232	55177	2350	7065	43207	10627	21329	44922	126113	714161	2636703	1321855	80496	30900	52929	55145	199378	860128	24800	28722	80112	55694	216766	20300	28494	352301	7264	260976	251	72199	155931	64034	61373	17828	35788	88227	102600	237418	17409	60923	27469	3166	57960	70442	51146	127202	22466	20648	43401	307597	106014	33271	23797	130315	29107	45170	55259	99519	68883	53897	44824	1086158	6379	9927	67397	53382	14478	16849	38976	19259	42637	156913	168271	88376	280892	0	166938	67592	10136	621565	12105	137938	34331	504219	66948	52207	10468	14190	51639	396683	5883	15595	31998	26039	11079	24559	139776	155116	190395	10343	55531	61905	50879	57147	3355	17259	48494	193405	192494	30040	288519	22038	65556	34378	59701	661742	164222	49692	276303	118945	94009	7895	51060	8321	48771	67607	197821	40979	16606	3730	134159	583641	79358	3420	171441	137274	64185	56576	4653	140322	37748	158340	246177	44478	36046	42849	38866	139311	79674	18356	349072	660317	89485	97687	85677	555841	16904	0	108853	52648	126318	9117	50718	73962	61632	194653	254312	47443	47291	136564	74695	214711	275350	79429	43373	26739	74144	150621	49474	1146	100740	46623	61630	23574	25730	133380	204369	11261	69779	11604	62574	200413	149191	10002	66067	27918	100356	49764	424125	92880	31823	168217	37925	128764	18678	56592	54427	15439	466443	51583	122332	26037	29096	34424	22170	112921	46538	42470	277193	42837	26028	18628	145052	105912	60793	39369	64473	370352	79616	22419	29178	19379	76368	0	53579	125320	129821	180069	13623	85396	174648	313	13015	36690	19286	86261	47795	29774	20185	13092	109444	36065	497494	43335	59440	23226	342270	24772	17862	154654	24214	122997	23786	14243	73565	24212	40343	128820	109416	69064	6990	12100	401552	10764	95767	77199	199293	48491	21591	59546	20236	63867	16524	18669	204014	10533	24732	3100	85185	162323	113251	42503	162456	296882	60029	135358	97917	57965	197332	17482	13051	328430	10644	107131	145057	19841	96587	33969	44787	135861	23499	8278	60500	44935	14219	46643	15101	115215	36304	147295	15500	29094	146939	36777	33327	66174	55499	124998	32355	32588	43356	13068	39661	83351	30031	19432	11979	124335	82716	35799	5617	36319	14016	23021	342909	7628	8006	104187	19772	18303	212132	8531	13911	157340	24542	194656	80890	165970	57731
"Hydroxymyristate"	3179	4971	8327	169261	103994	74384	7021	92646	3575	7202	3269	16886	7781	99940	3979	230695	191741	7259	165951	131698	386146	14863	71828	48779	13857	3798	7505	6739	90178	115291	9444	295674	57661	3700	138505	16934	7944	14015	8414	11294	20533	9902	22858	59703	158153	13328	8657	142836	75197	394060	11961	54618	96357	160807	8348	268741	120295	237702	2679	15629	38419	7076	21146	71233	37976	8836	137984	45556	484612	46758	190661	58812	24941	79427	11702	470938	42166	38168	155724	5124	24881	114725	12351	5805	155492	6771	57375	45344	127238	123717	14079	31362	182042	321078	102645	3923	102949	149269	296215	182016	235774	16512	90593	170914	9424	10789	233053	235829	25562	9259	472185	130739	117482	92673	6119	2562	11490	99812	11772	73572	108661	11977	109177	443481	78138	7743	89764	51621	226090	293590	35437	62603	4282	28213	98151	318217	189301	32680	60167	13531	6714	45781	183998	8892	355544	12669	106555	29085	6690	81213	258846	3003	10550	49695	16130	158153	8115	81154	137846	145219	14715	8129	11417	10680	172217	17492	36347	266411	53480	3022	15849	242574	10177	7464	7769	93032	82016	355496	30519	88828	20963	7090	21194	52103	21031	46556	12959	6490	21129	50023	5197	5099	53751	35844	17006	3057	42679	231832	36450	47032	290185	11677	20142	28379	131249	43564	7541	286793	165465	4972	127928	180795	44872	92411	178038	23922	148136	396210	16438	167865	5038	4237	73216	11594	68146	9615	41841	99403	10749	135300	27705	29260	95905	77281	3572	22971	16032	159409	5477	4582	85423	99853	6478	106500	4315	46011	125708	16158	182797	238992	167246	186826	6398	112054	4668	97694	18127	131470	226536	34866	75571	10273	39204	387369	16097	12803	9096	5431	6156	110204	119869	56731	11945	58038	41080	6159	3651	108254	102246	5472	359183	16854	278840	25465	13132	78597	52450	391734	15176	47680	41722	67901	86555	256965	139152	80121	5340	9205	128511	228394	11131	68539	157565	87946	126336	28486	72661	62268	6702	141823	60700	23266	165641	136262	204952	3278	237604	102925	126290	6950	124771	120358	6610	6752	7448	50794	13952	20349	69369	102966	33587	100875	44679	12407	48987	48724	11429	11155	12828	24731	46275	124596	90174	157485	80273	58035	242580	8022	10841	160804	61233	5230	216114	72747	27804	79170	2065	19293	61576	1564481	10668	182478	233227	208997	63005	183654	6291	4941	135883	93938	8468	145747	24952	276607	45204	191396	162862	34401	253234	131781	19119	211186	524120	78424	54603	18239	61318	35592
