"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcaceae.UCG.014"	"Diet"	"Keto"	-1.60797964206217	0.00126037986855681	NA	0.0126037986855681	0.00126037986855681	0.0115078161911709	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Tyzzerella.3"	"Day"	"Day"	-1.97208359051105	0.00142431246297969	NA	0.0135309683983071	0.00142431246297969	0.0124627340510723	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Christensenellaceae.D_5__uncultured"	"Day"	"Day"	-0.0168534744586207	0.00108582224757695	NA	0.0114614570577567	0.00217046548520058	0.0182319100756848	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Family.XIII.D_5__.Eubacterium..nodatum.group"	"Day"	"Day"	-0.212235688819613	0.4341227819519	NA	0.743093050187938	0.00276800381716903	0.0223569539079037	"abundance"
"D_0__Bacteria.D_1__Cyanobacteria.D_2__Melainabacteria.D_3__Gastranaerophilales.__.__"	"Day"	"Day"	-2.17666118357534	0.00198556342550944	NA	0.0174448122561595	0.00304423938410885	0.0236774174319577	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Lachnospiraceae.NK4A136.group"	"Diet"	"Keto"	1.45606860381641	0.0033902733861065	NA	0.0238574793837124	0.0033902733861065	0.0254270503957987	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__ASF356"	"Day"	"Day"	-2.20523434528764	0.00324986145881653	NA	0.0237489875836593	0.00416305049539703	0.0285804676457296	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Lachnospiraceae.FCS020.group"	"Diet"	"Keto"	-2.07092112551443	0.0021004512518475	NA	0.0174448122561595	0.00419649060823361	0.0285804676457296	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Tyzzerella"	"Day"	"Day"	0.204870179338457	0.00211174043100879	NA	0.0174448122561595	0.00421902141436961	0.0285804676457296	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Anaerotruncus"	"Diet"	"Keto"	-1.70138269313711	0.00228896710755662	NA	0.0181209896014899	0.00457269484469377	0.0300083099183029	"abundance"
